Post - Hogwarts,freq
Draco Malfoy,1310
Harry Potter,1125
Hermione Granger,798
Severus Snape,188
Sirius Black,161
Ginny Weasley,134
Remus Lupin,119
none,113
Ron Weasley,92
Original Female Character,72
Pansy Parkinson,67
Scorpius Malfoy,63
Luna Lovegood,62
Albus Severus Potter,51
Neville Longbottom,42
Reader,41
Blaise Zabini,37
Lucius Malfoy,36
James Potter,34
George Weasley,34
Charlie Weasley,31
Tom Riddle,26
Teddy Lupin,24
Fred Weasley,24
Theodore Nott,24
Rose Weasley,20
Lavender Brown,19
Astoria Greengrass,18
James Sirius Potter,17
Lily Evans Potter,16
Cho Chang,15
Oliver Wood,15
Percy Weasley,13
Voldemort,11
Fleur Delacour,11
Marcus Flint,10
Narcissa Black Malfoy,10
Marlene McKinnon,9
Bill Weasley,9
Parvati Patil,9
Regulus Black,8
Daphne Greengrass,8
Nymphadora Tonks,8
Original Character,7
Minerva McGonagall,7
Millicent Bulstrode,7
Viktor Krum,7
Katie Bell,6
Padma Patil,6
Dean Thomas,6
Victoire Weasley,5
Dorcas Meadowes,5
Hannah Abbott,5
Cedric Diggory,5
Andromeda Black Tonks,5
Lily Luna Potter,5
Loki ,4
Rolf Scamander,4
Original Male Character,4
Antonin Dolohov,4
Lysander Scamander,4
Cormac McLaggen,4
Albus Dumbledore,4
Player Character (Hogwarts Mystery),3
Tony Stark,3
Bellatrix Black Lestrange,3
Thorfinn Rowle,3
Gellert Grindelwald,3
Alicia Spinnet,3
Nick Miller,3
Angelina Johnson,3
Fenrir Greyback,3
Lorcan Scamander,3
Steve Rogers,2
Adrian Pucey,2
Original Non - Binary Character,2
Spencer Reid,2
John Watson,2
Molly Weasley,2
Gregory Goyle,2
Alistair (Dragon Age),2
Zacharias Smith,2
Geralt z Rivii | Geralt of Rivia,2
Arthur Pendragon (Merlin),2
Merlin,2
Sherlock Holmes,2
Edward Cullen,2
Dean Winchester,2
Draco,2
Hermione,2
Minor or Background Relationship,2
Hatake Kakashi,2
Player Character,2
Barnaby Lee,2
Felix Rosier,2
Salazar Slytherin,2
Dominique Weasley,2
Bruce Banner,2
Seamus Finnigan,2
Kunzite,1
Zoisite,1
