Post - Hogwarts,freq
Draco Malfoy,364
Harry Potter,278
Hermione Granger,237
Severus Snape,55
Ron Weasley,28
Sirius Black,26
Ginny Weasley,20
Charlie Weasley,18
Neville Longbottom,16
Pansy Parkinson,15
Lucius Malfoy,13
Remus Lupin,12
Albus Severus Potter,12
Original Female Character,11
Teddy Lupin,10
Theodore Nott,10
Luna Lovegood,9
James Sirius Potter,9
Scorpius Malfoy,9
Tom Riddle,8
Blaise Zabini,8
none,7
Fred Weasley,6
George Weasley,6
Reader,5
Narcissa Black Malfoy,5
James Potter,5
Oliver Wood,5
Lavender Brown,4
Cormac McLaggen,4
Parvati Patil,3
Player Character (Hogwarts Mystery),2
Nymphadora Tonks,2
Original Character,2
Gregory Goyle,2
Bill Weasley,2
Fleur Delacour,2
Millicent Bulstrode,2
Viktor Krum,2
Marcus Flint,2
Cho Chang,2
Padma Patil,2
Barnaby Lee,2
Rose Weasley,2
Andromeda Black Tonks,2
Kunzite,1
Zoisite,1
Astoria Greengrass,1
Adrian Pucey,1
Rabastan Lestrange,1
Rodolphus Lestrange,1
Rolf Scamander,1
Gellert Grindelwald,1
Lily Evans Potter,1
Justin Finch - Fletchley,1
Damon Salvatore,1
Molly Weasley,1
Susan Bones,1
Eric Northman,1
Rita Skeeter,1
Logan Delos,1
Jimmy Peakes,1
Cedric Diggory,1
Dean Thomas,1
Angelina Johnson,1
Dorian Pavus,1
Chester Davies,1
Player Character,1
Hannah Abbot,1
Lysander Scamander,1
Hermione,1
Reference to past Ron,1
Corvo Attano,1
Lily Luna Potter,1
Female Harry Potter,1
Multi,1
Percy Weasley,1
Mulciber,1
Hermione Grranger,1
Seamus Finnigan,1
Newt Scamander,1
Tina Goldstein,1
Plant,1
Bellatrix Black Lestrange,1
Katie Bell,1
Corban Yaxley,1
Thorfinn Rowle,1
Billy The Beaut Russo,1
Flora Carrow,1
Ted Tonks,1
Dominique Weasley,1
