Post Traumatic Stress Disorder - PTSD,freq
Harry Potter,624
Draco Malfoy,598
Hermione Granger,478
Severus Snape,165
Sirius Black,124
Remus Lupin,107
none,96
Original Female Character,75
Ginny Weasley,70
Ron Weasley,69
Tom Riddle,39
James Potter,37
Luna Lovegood,32
Lily Evans Potter,32
Regulus Black,29
Fred Weasley,25
Neville Longbottom,22
Voldemort,20
Bellatrix Black Lestrange,20
Lucius Malfoy,19
Pansy Parkinson,18
Percy Weasley,18
George Weasley,16
Newt Scamander,16
Original Percival Graves,15
Theodore Nott,14
Reader,14
Charlie Weasley,13
Narcissa Black Malfoy,13
Fleur Delacour,12
Original Male Character,11
Nymphadora Tonks,10
Theseus Scamander,9
Tony Stark,8
James Sirius Potter,8
Original Character,7
Oliver Wood,7
Credence Barebone,7
Cedric Diggory,7
Astoria Greengrass,7
James Bucky Barnes,6
Dean Thomas,6
Daphne Greengrass,5
Marlene McKinnon,5
Gellert Grindelwald,5
Percy Jackson,5
Albus Dumbledore,5
Viktor Krum,5
Andromeda Black Tonks,5
Seamus Finnigan,4
Annabeth Chase,4
Scorpius Malfoy,4
Teddy Lupin,4
Arthur Weasley,3
Molly Weasley,3
Hatake Kakashi,3
Merula Snyde,3
Salazar Slytherin,3
Marcus Flint,3
Antonin Dolohov,3
Steve Rogers,3
Petunia Evans Dursley,3
Other,3
Peter Pettigrew,3
Bill Weasley,3
Blaise Zabini,3
Fenrir Greyback,3
Minerva McGonagall,3
Death,2
No Romantic Relationship,2
Nico di Angelo,2
Will Solace,2
Natasha Romanov ,2
Lavender Brown,2
Past Seamus Finnigan,2
Canon Relationships - Relationship,2
Rose Weasley,2
Albus Severus Potter,2
Loki,2
Daryl Dixon,2
Ginny,2
Harry,2
Tina Goldstein,2
Cho Chang,2
Minor or Background Relationship,2
Player Character,2
Undecided,1
Aleta Ogord,1
Stakar Ogord,1
TBD - Relationship,1
Gregory Goyle,1
Kurusu Akira,1
Okumura Haru,1
Eventual Sam Winchester,1
Female Harry Potter x George Weasley,1
Franklin Foggy Nelson,1
Matt Murdock,1
no they are children,1
unknown - Relationship,1
Former Harry Potter,1
Arthur Morgan,1
