Post Traumatic Stress Disorder - PTSD,freq
Draco Malfoy,186
Harry Potter,153
Hermione Granger,132
Severus Snape,62
Original Female Character,23
Remus Lupin,23
Sirius Black,23
Ginny Weasley,9
Tom Riddle,7
Neville Longbottom,7
James Sirius Potter,7
Original Percival Graves,6
none,6
Lucius Malfoy,6
Pansy Parkinson,6
Bellatrix Black Lestrange,5
Ron Weasley,5
Newt Scamander,5
Theodore Nott,5
Luna Lovegood,4
Fred Weasley,4
Charlie Weasley,4
Daphne Greengrass,3
Fleur Delacour,3
Gellert Grindelwald,3
Teddy Lupin,3
James Potter,2
Lily Evans Potter,2
Arthur Weasley,2
Molly Weasley,2
Marlene McKinnon,2
Regulus Black,2
Albus Dumbledore,2
Percy Weasley,2
Credence Barebone,2
George Weasley,2
Narcissa Black Malfoy,2
Nymphadora Tonks,2
Theseus Scamander,2
Scorpius Malfoy,2
Former Harry Potter,1
Arthur Morgan,1
Aster Potter,1
Marcus Flint,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Original Male Character,1
Sung Jin - Woo,1
Andromeda Black Tonks,1
Hatake Kakashi,1
Uchiha Itachi,1
Voldemort,1
Blaise Zabini,1
Padma Patil,1
Barnaby Lee,1
Reader x snape,1
Oliver Wood,1
Mulciber,1
Aziraphale,1
Crowley ,1
Rose Weasley,1
Loki ,1
James Bucky Barnes,1
Oliver Queen,1
Slade Wilson,1
Alastor,1
Angel Dust (Hazbin Hotel),1
Fenrir Greyback,1
Astoria Greengrass,1
Darcy Lewis,1
Steve Rogers,1
Victoire Weasley,1
Minor or Background Relationship,1
