Quidditch,freq
Harry Potter,61
Draco Malfoy,61
Hermione Granger,25
Oliver Wood,17
Original Female Character,16
Ginny Weasley,10
Marcus Flint,10
Fred Weasley,8
Sirius Black,8
Reader,7
Ron Weasley,6
Severus Snape,5
Tom Riddle,4
Charlie Weasley,4
Remus Lupin,4
none,3
Luna Lovegood,3
James Potter,3
James Sirius Potter,3
Teddy Lupin,3
Kylo Ren,3
Rey,3
Angelina Johnson,3
Lily Evans Potter,2
Voldemort,2
Colin Creevey,2
Cormac McLaggen,2
Viktor Krum,2
Albus Severus Potter,2
Scorpius Malfoy,2
Original Male Character,2
Percy Weasley,2
Penny Haywood,1
Theodore Nott,1
Daphne Greengrass,1
Im Jaebum | JB,1
Jackson Wang,1
Hugo Weasley,1
Pansy Parkinson,1
Draco,1
Roger Davies,1
Andromeda Black Tonks,1
Ted Tonks,1
Jeon Jungkook,1
Park Jimin,1
Arthur Weasley,1
Kim Hongjoong,1
Park Seonghwa,1
Katie Bell,1
Lily Luna Potter,1
George Weasley,1
Terry Boot,1
Castiel,1
Dean Winchester,1
Albus Dumbledore,1
Theseus Scamander,1
Lavender Brown,1
Neville Longbottom,1
