Redeemed Draco Malfoy,freq
Draco Malfoy,625
Harry Potter,335
Hermione Granger,226
Original Female Character,46
Reader,18
none,15
Ron Weasley,13
Astoria Greengrass,12
Luna Lovegood,8
Ginny Weasley,7
Neville Longbottom,6
Remus Lupin,5
Severus Snape,5
Original Character,5
Fred Weasley,4
Scorpius Malfoy,4
dramione,3
George Weasley,3
Pansy Parkinson,3
Theodore Nott,3
Blaise Zabini,2
Aziraphale,2
Crowley ,2
Hermione,2
Narcissa Black Malfoy,2
Tom Riddle,2
Albus Severus Potter,2
Molly Weasley,2
Lucius Malfoy,2
Charlie Weasley,2
they are kids (kinda),1
Daphne Greengrass,1
Draco Malefoy,1
Original Male Character,1
Spencer Reid,1
Anakin Skywalker,1
Other Relationship Tags to Be Added,1
Draco Malfoy - Relationship,1
Draco malfoy,1
Original character,1
Lavender Brown,1
Parvati Patil,1
Gregory Goyle,1
Dean Thomas,1
Other,1
Minor or Background Relationship,1
Draco,1
Merlin (Merlin),1
Arthur Weasley,1
Voldemort,1
Nymphadora Tonks,1
Integra Hellsing,1
Seras Victoria,1
harry potter,1
multiple characters,1
Arthur Pendragon (Merlin),1
Merlin,1
ship all,1
ship one,1
Lily Evans - Relationship,1
Minor James Potter,1
Geten (My Hero Academia),1
Toga Himiko,1
Albus Dumbledore,1
Antonin Dolohov,1
Drarry - Relationship,1
Andromeda Black Tonks,1
Mabel Pines,1
Jacob Black,1
Allison Argent,1
Scott McCall,1
Sirius Black,1
Cormac McLaggen,1
Kylo Ren,1
Rey,1
