Rimming,freq
Harry Potter,457
Draco Malfoy,323
Sirius Black,76
Severus Snape,72
Remus Lupin,69
Hermione Granger,37
Ron Weasley,26
Original Percival Graves,15
Lucius Malfoy,15
Voldemort,14
Tom Riddle,13
Albus Severus Potter,13
Pansy Parkinson,11
Scorpius Malfoy,11
Blaise Zabini,10
Credence Barebone,9
James Sirius Potter,9
Teddy Lupin,8
Newt Scamander,8
Albus Dumbledore,6
Gellert Grindelwald,6
Oliver Wood,6
George Weasley,6
Neville Longbottom,6
Theodore Nott,6
Daphne Greengrass,5
Ginny Weasley,5
Original Male Character,5
Marcus Flint,4
Fred Weasley,4
Regulus Black,4
James Potter,4
Lily Evans Potter,3
Bill Weasley,3
Cormac McLaggen,3
Narcissa Black Malfoy,3
none,3
Nymphadora Tonks,3
Antonin Dolohov,3
Theseus Scamander,3
Percy Weasley,3
Charlie Weasley,3
Prince Charmont (Ella Enchanted),2
Quirinus Quirrell,2
Dean Thomas,2
Seamus Finnigan,2
Arthur Weasley,2
Natasha Romanov ,2
Viktor Krum,2
Cedric Diggory,2
Fleur Delacour,2
Mrs Granger,1
Ootori Kyoya,1
Johann Struensee,1
Colin Creevey,1
Frank Zhang,1
Percy Jackson,1
Jasper Hale,1
Im Jaebum | JB,1
Jackson Wang,1
Chiara Lobosca,1
Penny Haywood,1
Ernie Macmillan,1
Justin Finch - Fletchley,1
Other,1
Shiloe,1
Peter Pettigrew,1
Original Characters,1
Riven,1
Hermione,1
o&#39;knutzy - Relationship,1
Luna Lovegood,1
Mundungus Fletcher,1
Sam Merlotte,1
Harry Dresden,1
Astoria Greengrass,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Albus Potter,1
James Potter II,1
Harry Potter (imagination),1
Dudley Dursley,1
Asami Ryuichi,1
Vernon Dursley,1
Padma Patil,1
Hag,1
Harvey Kinkle,1
Nicholas Scratch,1
Harry Styles,1
Louis Tomlinson,1
Heimdall ,1
Carol,1
Doug Jones,1
Rabastan Lestrange,1
Desmond Miles,1
Кеша Гинс,1
Костя Кот,1
Too many relations to work out,1
Horcrux,1
Horace Slughorn,1
Klaus Mikaelson,1
