Romance,freq
Harry Potter,2359
Hermione Granger,2017
Draco Malfoy,1887
Severus Snape,912
Original Female Character,533
Sirius Black,400
Remus Lupin,375
Ginny Weasley,267
Tom Riddle,229
James Potter,226
Lily Evans Potter,200
Ron Weasley,196
Reader,173
Lucius Malfoy,165
Fred Weasley,142
Voldemort,138
Luna Lovegood,129
Scorpius Malfoy,114
none,108
Pansy Parkinson,97
George Weasley,96
Albus Dumbledore,95
Bellatrix Black Lestrange,91
Fleur Delacour,90
Charlie Weasley,84
Gellert Grindelwald,83
Neville Longbottom,78
Narcissa Black Malfoy,74
Original Character,63
Daphne Greengrass,61
Nymphadora Tonks,61
Albus Severus Potter,60
Theodore Nott,59
Blaise Zabini,59
Newt Scamander,58
Oliver Wood,56
Rose Weasley,56
Original Male Character,51
Original Percival Graves,48
Cedric Diggory,45
Regulus Black,43
Teddy Lupin,41
Percy Weasley,40
Bill Weasley,38
James Sirius Potter,38
Marcus Flint,36
Minerva McGonagall,34
Astoria Greengrass,33
Credence Barebone,30
Lily Luna Potter,29
Lavender Brown,27
Theseus Scamander,25
Viktor Krum,24
Tony Stark,24
Tina Goldstein,23
Katie Bell,21
Cho Chang,19
Andromeda Black Tonks,17
Victoire Weasley,14
Jacob Kowalski,14
Loki ,13
Fenrir Greyback,13
Seamus Finnigan,13
Other,11
Steve Rogers,11
Rodolphus Lestrange,11
Arthur Weasley,11
Ted Tonks,11
Salazar Slytherin,11
Rabastan Lestrange,10
Dominique Weasley,10
Parvati Patil,10
Marlene McKinnon,10
Dean Thomas,10
Molly Weasley,10
Leta Lestrange,10
James Bucky Barnes,9
Female Harry Potter,9
Bartemius Crouch Jr.,9
Audrey Weasley,8
Dean Winchester,8
Padma Patil,8
Thorfinn Rowle,8
Rowena Ravenclaw,8
Angelina Johnson,8
Queenie Goldstein,8
Player Character,7
Antonin Dolohov,7
Susan Bones,7
Adrian Pucey,7
Petunia Evans Dursley,7
Jacob Black,7
Tracey Davis,7
Loki,7
OMC,6
Dorcas Meadowes,6
Alicia Spinnet,6
Godric Gryffindor,6
Cormac McLaggen,6
Millicent Bulstrode,6
Thor ,6
