Romance,freq
Hermione Granger,520
Harry Potter,451
Draco Malfoy,410
Severus Snape,221
Original Female Character,77
Remus Lupin,67
Sirius Black,64
Lucius Malfoy,54
Tom Riddle,49
Ron Weasley,33
Voldemort,32
Charlie Weasley,31
Ginny Weasley,26
George Weasley,23
Narcissa Black Malfoy,23
Bellatrix Black Lestrange,23
Pansy Parkinson,21
Fred Weasley,18
James Potter,17
Lily Evans Potter,16
Reader,15
Neville Longbottom,15
Theodore Nott,14
Original Percival Graves,13
Scorpius Malfoy,13
none,12
Daphne Greengrass,12
Nymphadora Tonks,11
Bill Weasley,11
Albus Dumbledore,11
Albus Severus Potter,10
Teddy Lupin,10
Original Character,9
Original Male Character,9
Luna Lovegood,8
Fenrir Greyback,8
Oliver Wood,8
Regulus Black,7
Gellert Grindelwald,7
Marcus Flint,7
Tony Stark,7
Credence Barebone,7
Lily Luna Potter,7
Fleur Delacour,6
Andromeda Black Tonks,6
Theseus Scamander,6
Blaise Zabini,5
Viktor Krum,5
Thorfinn Rowle,5
Lavender Brown,5
Molly Weasley,5
Astoria Greengrass,4
Cedric Diggory,4
James Sirius Potter,4
Loki ,4
Percy Weasley,4
Newt Scamander,4
Other,4
Arthur Weasley,4
Adrian Pucey,3
Rabastan Lestrange,3
Rodolphus Lestrange,3
Minerva McGonagall,3
Kingsley Shacklebolt,3
OMC,3
Bartemius Crouch Jr.,3
Barnaby Lee,3
Queenie Goldstein,3
Cormac McLaggen,3
Dominique Weasley,3
Player Character (Hogwarts Mystery),2
Scabior,2
Angus MacGyver (MacGyver TV 2016),2
Dobby,2
Dean Winchester,2
Eric Northman,2
Emmett Cullen,2
Millicent Bulstrode,2
Jethro Gibbs,2
Leta Lestrange,2
Jacob Black,2
Angelina Johnson,2
Steve Rogers,2
Parvati Patil,2
Ted Tonks,2
Thor ,2
Tina Goldstein,2
Darcy Lewis,2
Player Character,2
Asami Ryuichi,1
Bellamy Blake,1
Johann Struensee,1
Prince Charmont (Ella Enchanted),1
Wang Yi Bo,1
Xiao Zhan | Sean,1
Arthur Morgan,1
Aster Potter,1
Penny Haywood,1
Rose Weasley,1
Harry Hart | Galahad,1
daisuga,1
