Romantic Fluff,freq
Harry Potter,28
Hermione Granger,26
Draco Malfoy,18
Severus Snape,7
Ron Weasley,7
Original Female Character,6
Tom Riddle,5
Fred Weasley,4
Gellert Grindelwald,3
Albus Dumbledore,3
Voldemort,3
Remus Lupin,3
Newt Scamander,2
Theodore Nott,2
Sirius Black,2
Reader,2
Original Male Character,2
Neville Longbottom,2
Blaise Zabini,2
Credence Barebone,2
Original Percival Graves,2
Ginny Weasley,2
Albus Severus Potter,2
Scorpius Malfoy,2
Harry Hart | Galahad,1
Viktor Krum,1
Arthur Weasley,1
Molly Weasley,1
Carlisle Cullen,1
Charlie Weasley,1
Pansy Parkinson,1
Antonin Dolohov,1
Ben Solo,1
Rey,1
Dean Thomas,1
Asami Ryuichi,1
Astoria Greengrass,1
Colin Farrell,1
James Potter,1
Lily Evans Potter,1
James Sirius Potter,1
Teddy Lupin,1
