Ron Weasley Bashing,freq
Harry Potter,551
Hermione Granger,336
Draco Malfoy,244
Severus Snape,145
none,64
Tom Riddle,52
Voldemort,50
Fred Weasley,31
Lucius Malfoy,29
Ron Weasley,25
Original Female Character,25
Sirius Black,24
Narcissa Black Malfoy,24
George Weasley,23
Luna Lovegood,23
Original Male Character,18
James Potter,17
Blaise Zabini,16
Fleur Delacour,14
Daphne Greengrass,13
Remus Lupin,13
Lily Evans Potter,13
Bellatrix Black Lestrange,11
Tony Stark,10
Charlie Weasley,10
Ginny Weasley,10
Original Character,10
Theodore Nott,9
Cedric Diggory,9
Pansy Parkinson,8
Viktor Krum,7
Neville Longbottom,6
Other Relationship Tags to Be Added,5
Vernon Dursley,5
Marcus Flint,5
Female Harry Potter,4
Bill Weasley,4
Petunia Evans Dursley,4
Steve Rogers,4
Regulus Black,4
Percy Jackson,4
Loki ,4
Daryl Dixon,3
Damian Wayne,3
Anakin Skywalker,3
Bartemius Crouch Jr.,3
Reader,3
Annabeth Chase,3
Harem,3
Percy Weasley,3
Arthur Weasley,2
harry potter,2
Henry Emily,2
William Afton | Dave Miller,2
Rabastan Lestrange,2
Nico di Angelo,2
Undecided,2
Fenrir Greyback,2
Reborn,2
Nymphadora Tonks,2
Carlisle Cullen,2
Dean Thomas,2
?,2
Salazar Slytherin,2
Multi,2
Thorfinn Rowle,2
Ginny Weasley - Relationship,2
past Harry Potter,2
Padma Patil,1
Parvati Patil,1
Peter Pettigrew,1
Justin Finch - Fletchley,1
Morag MacDougal,1
Ootori Kyoya,1
creepypasta,1
Reborn (Katekyou Hitman Reborn!),1
Rose Holmes,1
Aragorn | Estel,1
Legolas Greenleaf,1
Peter Parker,1
Jethro Gibbs,1
Tyler Creed,1
Giant Squid,1
Relationships to be added,1
Rodolphus Lestrange,1
Amelia Bones,1
Astoria Greengrass,1
Sawada Tsunayoshi,1
Draco Malfoy - Relationship,1
Pepper Potts,1
Andromeda Black Tonks,1
Peter Hale,1
Susan Bones,1
Dolores Umbridge,1
Past James Potter,1
Minor or Background Relationship,1
Dobby,1
Tanaka Ryuunosuke,1
Relationship Tags to Be Added,1
Ozpin (RWBY),1
draco,1
