Ron Weasley Bashing,freq
Hermione Granger,119
Harry Potter,75
Draco Malfoy,64
Severus Snape,34
Tom Riddle,11
Ron Weasley,8
Voldemort,8
Bellatrix Black Lestrange,6
Lucius Malfoy,5
Sirius Black,4
Original Female Character,4
Charlie Weasley,4
Fred Weasley,3
Daphne Greengrass,3
James Potter,3
Theodore Nott,2
Female Harry Potter,2
George Weasley,2
Remus Lupin,2
Daryl Dixon,2
none,2
Ginny Weasley,2
Pansy Parkinson,2
Viktor Krum,2
Marcus Flint,2
Multi,2
Fleur Delacour,2
Thorfinn Rowle,2
Padma Patil,1
Parvati Patil,1
Arthur Weasley,1
Ootori Kyoya,1
Rabastan Lestrange,1
Narcissa Black Malfoy,1
Jethro Gibbs,1
Rodolphus Lestrange,1
Fenrir Greyback,1
Peter Hale,1
Original Character,1
Dobby,1
Bill Weasley,1
Everyone,1
Carlisle Cullen,1
Rhaenys Targaryen,1
Erik Lehnsherr,1
Raven | Mystique,1
Kara Zor - El,1
Harem,1
Wayne Hopkins,1
surprise for you all and fun for me,1
Original Male Character,1
Seamus Finnigan,1
Tenth Doctor,1
Lily Evans Potter,1
Percy Weasley,1
