Rough Sex,freq
Harry Potter,393
Draco Malfoy,309
Hermione Granger,265
Severus Snape,139
Sirius Black,83
Remus Lupin,80
Original Female Character,77
Reader,70
Tom Riddle,64
Lucius Malfoy,47
Ron Weasley,38
Ginny Weasley,36
Voldemort,24
Narcissa Black Malfoy,20
Bellatrix Black Lestrange,19
none,19
Fred Weasley,17
Pansy Parkinson,15
Original Percival Graves,15
Newt Scamander,13
Cormac McLaggen,13
Charlie Weasley,12
Lily Evans Potter,12
Fleur Delacour,12
Neville Longbottom,11
James Potter,10
Daphne Greengrass,10
Theodore Nott,9
George Weasley,9
Luna Lovegood,9
Blaise Zabini,9
Albus Dumbledore,9
Original Male Character,9
Nymphadora Tonks,8
Regulus Black,8
Original Character,7
Bill Weasley,7
Peter Pettigrew,7
Fenrir Greyback,7
Cedric Diggory,6
Credence Barebone,6
Natasha Romanov ,6
Gellert Grindelwald,6
Scorpius Malfoy,5
Lavender Brown,5
Oliver Wood,5
Albus Severus Potter,4
Marcus Flint,4
Tina Goldstein,4
Viktor Krum,4
Theseus Scamander,4
Antonin Dolohov,3
James Sirius Potter,3
Astoria Greengrass,3
Other,3
Gregory Goyle,3
Delphi,3
Parvati Patil,3
Rodolphus Lestrange,3
Loki ,3
Horace Slughorn,3
Angelina Johnson,2
Kylo Ren,2
Adrian Pucey,2
Penny Haywood,2
Minerva McGonagall,2
Midoriya Izuku,2
Bakugou Katsuki,2
Quirinus Quirrell,2
Lorcan Scamander,2
Thorfinn Rowle,2
Padma Patil,2
Evelyn Black,2
F4M,2
Tony Stark,2
Aurora Sinistra,2
Jeon Jungkook,2
Kim Taehyung | V,2
Alastor Moody,2
Rose Weasley,2
Arthur Weasley,2
Victoire Weasley,2
Teddy Lupin,2
Vernon Dursely,1
Hannibal Lecter,1
Will Graham,1
Circe Avery,1
Aro (Twilight),1
Bartemius Crouch Jr,1
Jack Overland,1
Rhode Evans,1
Daenerys Targaryen,1
Jethro Gibbs,1
Graham Montague,1
Harry Hart | Galahad,1
Octavia Montgomery,1
Sam Winchester,1
Mattheoriddle,1
Frank Zhang,1
Percy Jackson,1
Rolf Scamander,1
