Rough Sex,freq
Harry Potter,354
Draco Malfoy,257
Hermione Granger,235
Severus Snape,123
Sirius Black,70
Remus Lupin,70
Tom Riddle,53
Original Female Character,53
Lucius Malfoy,42
Reader,42
Ginny Weasley,32
Ron Weasley,28
Voldemort,19
Narcissa Black Malfoy,19
Bellatrix Black Lestrange,14
Fred Weasley,14
Original Percival Graves,13
Lily Evans Potter,12
Fleur Delacour,12
Pansy Parkinson,12
Newt Scamander,11
Cormac McLaggen,11
Daphne Greengrass,10
none,10
Theodore Nott,9
Neville Longbottom,9
Original Male Character,9
Charlie Weasley,8
Luna Lovegood,8
Nymphadora Tonks,8
George Weasley,8
Blaise Zabini,7
Peter Pettigrew,7
James Potter,6
Credence Barebone,6
Regulus Black,6
Bill Weasley,6
Natasha Romanov ,6
Cedric Diggory,5
Oliver Wood,5
Albus Dumbledore,5
Lavender Brown,4
Original Character,4
Marcus Flint,4
Gellert Grindelwald,4
Tina Goldstein,4
Viktor Krum,4
Fenrir Greyback,4
Antonin Dolohov,3
Astoria Greengrass,3
Albus Severus Potter,3
Scorpius Malfoy,3
Gregory Goyle,3
Delphi,3
Loki ,3
Theseus Scamander,3
Horace Slughorn,3
Angelina Johnson,2
Minerva McGonagall,2
Other,2
Quirinus Quirrell,2
Lorcan Scamander,2
Thorfinn Rowle,2
James Sirius Potter,2
Evelyn Black,2
F4M,2
Tony Stark,2
Parvati Patil,2
Aurora Sinistra,2
Rodolphus Lestrange,2
Jeon Jungkook,2
Kim Taehyung | V,2
Alastor Moody,2
Rose Weasley,2
Arthur Weasley,2
Victoire Weasley,2
Teddy Lupin,2
Vernon Dursely,1
Hannibal Lecter,1
Will Graham,1
Circe Avery,1
Aro (Twilight),1
Bartemius Crouch Jr,1
Daenerys Targaryen,1
Jethro Gibbs,1
Graham Montague,1
Penny Haywood,1
Harry Hart | Galahad,1
Octavia Montgomery,1
Sam Winchester,1
Mattheoriddle,1
Frank Zhang,1
Percy Jackson,1
Rolf Scamander,1
Angus MacGyver (MacGyver TV 2016),1
Peter Hale,1
Slytherin Students,1
Petunia Evans Dursley,1
Im Jaebum | JB,1
Jackson Wang,1
Isaac Lahey,1
