Secret Relationship,freq
Draco Malfoy,554
Harry Potter,411
Hermione Granger,282
Remus Lupin,78
Sirius Black,78
Severus Snape,77
Original Female Character,62
James Potter,47
Reader,37
Lily Evans Potter,29
Fred Weasley,26
Pansy Parkinson,26
Theodore Nott,22
Oliver Wood,22
Lucius Malfoy,21
Ginny Weasley,21
Ron Weasley,20
Tom Riddle,19
Regulus Black,18
Scorpius Malfoy,16
Percy Weasley,16
Charlie Weasley,14
James Sirius Potter,14
George Weasley,13
Narcissa Black Malfoy,12
Neville Longbottom,12
Marcus Flint,12
Teddy Lupin,11
Rose Weasley,11
Original Character,10
Albus Severus Potter,10
Blaise Zabini,9
Luna Lovegood,7
Original Male Character,7
Newt Scamander,7
Nymphadora Tonks,7
Seamus Finnigan,6
Daphne Greengrass,6
Cedric Diggory,6
Bill Weasley,6
Original Percival Graves,5
none,5
Minerva McGonagall,5
Gellert Grindelwald,5
Bellatrix Black Lestrange,4
Voldemort,4
Steve Rogers,4
Albus Dumbledore,4
James Bucky Barnes,3
Lavender Brown,3
Padma Patil,3
Poppy Pomfrey,3
Salazar Slytherin,3
Kingsley Shacklebolt,3
Kylo Ren,3
Rey,3
Nico di Angelo,3
Will Solace,3
Gregory Goyle,2
Susan Bones,2
Astoria Greengrass,2
Horace Slughorn,2
Angelina Johnson,2
Ted Tonks,2
Alastor Moody,2
Bartemius Crouch Sr.,2
Loki ,2
Arthur Pendragon (Merlin),2
Merlin,2
Bilbo Baggins,2
Thorin Oakenshield,2
Adrian Pucey,2
Marlene McKinnon,2
Lily Luna Potter,2
Stephen Strange,2
Millicent Bulstrode,2
Dean Thomas,2
Tina Goldstein,2
Gideon Prewett,2
Pomona Sprout,2
Drarry - Relationship,2
Evan Rosier,2
Fred Weasley II,1
Bellamy Blake,1
Charlus Potter,1
Dorea Black Potter,1
Ginny Weasly,1
enemies to lovers - Relationship,1
Penny Haywood,1
Harry Hart | Galahad,1
Hasegawa Langa,1
Kyan Reki,1
Cedrella Black Weasley,1
Septimus Weasley,1
Luke Deveaux,1
Saint (lumosinlove),1
Female Character,1
Frank Zhang,1
Percy Jackson,1
Scabior,1
Cho Chang,1
