Secret Relationship,freq
Draco Malfoy,131
Harry Potter,93
Hermione Granger,86
Severus Snape,30
Original Female Character,23
Sirius Black,12
Lucius Malfoy,11
Fred Weasley,10
George Weasley,9
Remus Lupin,8
Reader,7
Theodore Nott,6
James Potter,6
Pansy Parkinson,6
Tom Riddle,6
Teddy Lupin,5
James Sirius Potter,5
Scorpius Malfoy,5
Ron Weasley,5
Rose Weasley,4
Neville Longbottom,4
Lily Evans Potter,4
Original Percival Graves,3
Ginny Weasley,3
Albus Severus Potter,3
Nymphadora Tonks,3
Luna Lovegood,2
Bill Weasley,2
Daphne Greengrass,2
Angelina Johnson,2
Blaise Zabini,2
Seamus Finnigan,2
Bartemius Crouch Sr.,2
Percy Weasley,2
Newt Scamander,2
Oliver Wood,2
Original Male Character,2
Narcissa Black Malfoy,2
Original Character,2
Voldemort,2
Charlie Weasley,2
Bellamy Blake,1
Penny Haywood,1
Harry Hart | Galahad,1
Frank Zhang,1
Percy Jackson,1
none,1
Scabior,1
Helena Ravenclaw,1
Bellatrix Black Lestrange,1
Horace Slughorn,1
Poppy Pomfrey,1
Regulus Black,1
Marcus Flint,1
Eleonora Severin,1
Other,1
Aegon VI Targaryen,1
Jon Snow,1
Lysander Scamander,1
Viktor Krum,1
Kingsley Shacklebolt,1
Godric Gryffindor,1
Salazar Slytherin,1
Cedric Diggory,1
Kylo Ren,1
Rey,1
Molly Weasley,1
Sabrina Spellman,1
Gregory Goyle,1
Padma Patil,1
