Severus Snape Lives,freq
Severus Snape,644
Hermione Granger,348
Harry Potter,222
Draco Malfoy,82
none,49
Original Female Character,44
Lucius Malfoy,29
Remus Lupin,28
Sirius Black,17
Luna Lovegood,14
Lily Evans Potter,13
Reader,12
Ginny Weasley,8
Neville Longbottom,8
Narcissa Black Malfoy,7
Nymphadora Tonks,7
Ron Weasley,6
James Potter,5
Blaise Zabini,5
Minerva McGonagall,5
Tom Riddle,4
Original Character,4
Andromeda Black Tonks,4
Regulus Black,3
Pansy Parkinson,3
Gilderoy Lockhart,3
Other,2
Voldemort,2
Charlie Weasley,2
Aurora Sinistra,2
Tony Stark,2
Kingsley Shacklebolt,2
Original Male Character,2
Fred Weasley,2
George Weasley,2
Theodore Nott,2
Loki ,2
Caspian (Narnia),1
Severus Snape x Reader,1
Harry Hart | Galahad,1
Harry Potter - Relationship,1
Severus,1
Snape,1
Penny Haywood,1
Draco Malfoy X Original Character,1
Many Ships that I don&#39;t want to spoil,1
Sung Jin - Woo,1
Bellatrix Black Lestrange,1
Charity Burbage,1
Undecided,1
Nicholas Rush,1
Bruce Wayne,1
Harry·potter,1
Severus·snape,1
Shane Walsh,1
Barty Crouch Jr.,1
Rabastan Lestrange,1
Canon Relationship,1
Argus Filch,1
Lily Luna Potter,1
Alastor Moody,1
Bill Weasley,1
Eileen Prince,1
Petunia Evans Dursley,1
Marilla Cuthbert,1
Cedric Diggory,1
Minor or Background Relationship,1
Sabrina Spellman,1
Andromeda Tonks,1
Irma Pince,1
Albus Dumbledore,1
Rubeus Hagrid,1
past Hermione Granger,1
Former Severus Snape,1
Colin Creevey,1
Stephen Strange,1
