Sex,freq
Hermione Granger,263
Draco Malfoy,202
Harry Potter,186
Severus Snape,126
Original Female Character,55
Remus Lupin,47
Reader,43
Sirius Black,33
Tom Riddle,22
Ron Weasley,22
Fred Weasley,19
Lucius Malfoy,19
Nymphadora Tonks,16
Narcissa Black Malfoy,16
Ginny Weasley,14
none,13
George Weasley,11
Lily Evans Potter,9
Charlie Weasley,9
Pansy Parkinson,9
Neville Longbottom,8
Bellatrix Black Lestrange,8
James Potter,7
Edward (Anita Blake),7
Blaise Zabini,7
Daphne Greengrass,6
Bill Weasley,6
Micah Callahan,6
Aurora Sinistra,6
Voldemort,5
Jean - Claude (Anita Blake),5
Scorpius Malfoy,5
Original Male Character,5
Theodore Nott,5
James,4
Fenrir Greyback,4
Cormac McLaggen,4
Fleur Delacour,4
James Sirius Potter,4
Albus Severus Potter,4
Loki ,4
Luna Lovegood,4
Other,3
Credence Barebone,3
Original Percival Graves,3
Oliver Wood,3
Bartemius Crouch Jr.,3
Albus,3
Scorpius,3
Teddy,3
Minerva McGonagall,3
Original Character,3
Viktor Krum,3
Rabastan Lestrange,2
Antonin Dolohov,2
Player Character (Hogwarts Mystery),2
Dean Winchester,2
Delphi,2
Thorfinn Rowle,2
Dudley Dursley,2
Marcus Flint,2
Lily Luna Potter,2
Andromeda Black Tonks,2
Rodolphus Lestrange,2
Barnaby Lee,2
Artimis Knight,2
Tina Goldstein,2
Rose Weasley,2
Molly Weasley,2
Newt Scamander,2
Felix Rosier,2
Teddy Lupin,2
Ron Weasley (past),1
Peter Griffin,1
Sans,1
Graham Montague,1
Harry Hart | Galahad,1
Eleanor,1
Susan,1
Sirius,1
Isaac Lahey,1
Jackson Whittemore,1
Tracey Davis,1
Chiara Lobosca,1
Penny Haywood,1
Dobby,1
Eric Northman,1
Richard Winters,1
Godric (True Blood),1
Gregory Goyle,1
Ask Me,1
Girl Of Readerr Dreams,1
Katie Bell,1
Horace Slughorn,1
Hermione,1
Flora Carrow,1
Hestia Carrow,1
Sherlock Holmes,1
Edmund Pevensie,1
Undecided,1
daenerys targaryen,1
