Sexual Content,freq
Hermione Granger,269
Draco Malfoy,264
Harry Potter,220
Severus Snape,89
Sirius Black,74
Remus Lupin,67
Original Female Character,62
Tom Riddle,46
Ginny Weasley,26
Lucius Malfoy,25
James Potter,22
Ron Weasley,21
Fred Weasley,19
Voldemort,15
Reader,14
George Weasley,13
Scorpius Malfoy,13
Lily Evans Potter,12
Pansy Parkinson,12
Nymphadora Tonks,11
Theodore Nott,10
Bellatrix Black Lestrange,10
James Sirius Potter,10
Charlie Weasley,8
Narcissa Black Malfoy,8
Original Character,7
none,7
Teddy Lupin,7
Original Male Character,6
Fleur Delacour,6
Oliver Wood,6
Albus Dumbledore,6
Percy Weasley,6
Regulus Black,5
Albus Severus Potter,5
Bartemius Crouch Jr.,5
Blaise Zabini,4
Fenrir Greyback,4
Gellert Grindelwald,4
Original Percival Graves,4
Luna Lovegood,4
Bill Weasley,4
Tony Stark,4
Dean Winchester,3
Marcus Flint,3
Rose Weasley,3
Lily Luna Potter,3
Daphne Greengrass,3
Cormac McLaggen,3
Penny Haywood,2
Petunia Evans Dursley,2
Molly Weasley,2
Helga Hufflepuff,2
Rowena Ravenclaw,2
Snape,2
Minerva McGonagall,2
Theseus Scamander,2
Antonin Dolohov,2
Adrian Pucey,2
Thorfinn Rowle,2
Peter Parker,2
Molly Weasley II,2
Neville Longbottom,2
Thor ,2
Peter Griffin,1
Sans,1
Other,1
Jack Overland,1
Rhode Evans,1
Loki ,1
Min Yoongi | Suga,1
Astoria Greengrass,1
Harry Hart | Galahad,1
James,1
Sirius,1
Miya Atsumu,1
Miya Osamu,1
Susan Bones,1
Tracey Davis,1
Ianto Jones,1
Jack Harkness,1
Artemis Blackmoore Original Character,1
Zacharias Zabini Original Character,1
Apple,1
Alicia Spinnet,1
Original Male Character - Relationship,1
sevmione,1
Hannibal Lecter,1
Will Graham,1
Sesshoumaru (InuYasha),1
Legolas Greenleaf,1
Arthur Weasley,1
Remus Lupin - Relationship,1
past Sirius Black,1
Death,1
Severus Snape - Relationship,1
Eileen Prince,1
Tobias Snape,1
Ginny,1
Harry,1
Credence Barebone,1
