Shameless Smut,freq
Harry Potter,339
Hermione Granger,330
Draco Malfoy,303
Severus Snape,74
Sirius Black,59
Remus Lupin,53
Reader,47
Original Female Character,35
Ginny Weasley,35
Lucius Malfoy,32
Theodore Nott,30
Ron Weasley,27
Tom Riddle,26
Bellatrix Black Lestrange,23
Pansy Parkinson,19
Fred Weasley,17
James Potter,17
Narcissa Black Malfoy,15
Neville Longbottom,14
George Weasley,14
Blaise Zabini,14
none,14
Charlie Weasley,13
Lily Evans Potter,12
Fleur Delacour,11
Albus Dumbledore,10
Rose Weasley,9
Voldemort,8
Newt Scamander,8
Original Percival Graves,8
Cormac McLaggen,8
Original Male Character,7
Luna Lovegood,7
Scorpius Malfoy,7
Credence Barebone,7
Original Character,6
Tina Goldstein,6
Albus Severus Potter,6
Viktor Krum,5
Seamus Finnigan,4
Gellert Grindelwald,4
Minerva McGonagall,3
Angelina Johnson,3
Dean Thomas,3
Bill Weasley,3
Kara Danvers,2
Cedric Diggory,2
Other,2
Adrian Pucey,2
Loki ,2
Daenerys Targaryen,2
Penny Haywood,2
Daphne Greengrass,2
Arya Stark,2
Susan Bones,2
Parvati Patil,2
Molly Weasley,2
Hannah Abbott,2
Regulus Black,2
Player Character (Hogwarts Mystery),2
Fenrir Greyback,2
Astoria Greengrass,2
Oliver Wood,2
Padma Patil,2
Dean Winchester,2
Teddy Lupin,2
Vernon Dursley,2
Arthur Weasley,2
Nymphadora Tonks,2
Victoire Weasley,2
Theseus Scamander,2
Finn O&#39;Hara,2
Leo Knut,2
Logan Tremblay,2
Rogue,2
Kara Zor - El,2
Natasha Romanov ,1
Circe Avery,1
omc,1
James,1
Sirius,1
Anakin Skywalker,1
Grail Ashford,1
Lore),1
Medusa (Ancient Greek Religion,1
Voldemort (Harry Potter),1
Raven Branwen,1
Summer Rose,1
Eliza Danvers,1
Velelana Gremory,1
Chiara Lobosca,1
Cecile Horton,1
Richard Winters,1
Irene Belserion,1
Apple,1
Padmé Amidala,1
Damon,1
FemHarry,1
Zari Tomaz,1
Elizabeth (BioShock),1
Marcus Flint,1
