Sirius Black Lives,freq
Sirius Black,336
Harry Potter,267
Remus Lupin,181
Draco Malfoy,117
Hermione Granger,95
Original Female Character,49
Severus Snape,44
none,41
James Potter,28
Reader,21
Lily Evans Potter,19
Ron Weasley,19
Tom Riddle,19
Regulus Black,17
Lucius Malfoy,16
Voldemort,15
Ginny Weasley,14
Luna Lovegood,11
Blaise Zabini,8
Cedric Diggory,8
Nymphadora Tonks,8
George Weasley,6
Fred Weasley,5
Original Male Character,5
Original Character,4
wolfstar - Relationship,4
Narcissa Black Malfoy,4
Teddy Lupin,4
Neville Longbottom,3
Lavender Brown,3
Charlie Weasley,3
Tony Stark,3
Scorpius Malfoy,2
Akagi Touma,2
Aoi Itsuki,2
Bartemius Crouch Jr.,2
Castiel,2
Dean Winchester,2
Minor or Background Relationship,2
Obi - Wan Kenobi,2
Orion Black,2
Caspian (Narnia),1
they are kids (kinda),1
TBD,1
Marcus Flint,1
Female Harry Potter,1
Viktor Krum,1
Bill Weasley,1
Inuyasha,1
Emmeline Vance,1
Mary Macdonald,1
Albus Dumbledore,1
Gellert Grindelwald,1
Jasper Hale,1
Ciel Phantomhive,1
Alma Karma,1
Kanda Yuu,1
Tanaka Ryuunosuke,1
Fleur Delacour,1
Bumblebee,1
Lucy Heartfilia,1
Natsu Dragneel,1
Avengers Team,1
The Master (Simm),1
吉尔,1
小天狼星,1
Edward Elric,1
Original Male Characters - Relationship,1
Nico di Angelo,1
Will Solace,1
Parvati Patil,1
Andromeda Black Tonks,1
Bellatrix Black Lestrange,1
Marlene McKinnon,1
Peter Pettigrew,1
Bilbo Baggins,1
Thorin Oakenshield,1
Undecided,1
Daphne Greengrass,1
Arcturus Black III,1
Kukui - hakase | Professor Kukui,1
Marauders,1
Walburga Black,1
Arthur Weasley,1
Molly Weasley,1
Sirius Black - Relationship,1
Quatre Raberba Winner,1
Trowa Barton,1
Desmond Miles,1
OFC,1
Carl Grimes,1
Darcy Lewis,1
Shane Walsh,1
Harem,1
backgroud Harry Potter,1
Canon Relationship,1
Hades (Percy Jackson),1
Multiple - Relationship,1
Amelia Bones,1
Cho Chang,1
Percy Weasley,1
