Sirius Black Lives,freq
Sirius Black,51
Harry Potter,33
Remus Lupin,23
Hermione Granger,22
Draco Malfoy,15
Severus Snape,9
Lucius Malfoy,5
Original Female Character,4
Reader,4
Tom Riddle,3
Ginny Weasley,3
Lily Evans Potter,2
Voldemort,2
Nymphadora Tonks,2
James Potter,1
Female Harry Potter,1
Lucy Heartfilia,1
Natsu Dragneel,1
Charlie Weasley,1
Original Character,1
Fred Weasley,1
Neville Longbottom,1
Sirius Black - Relationship,1
none,1
Castiel,1
Dean Winchester,1
Original Male Character,1
Harem,1
Multiple - Relationship,1
Kingsley Shacklebolt,1
Narcissa Black Malfoy,1
Cedric Diggory,1
Fem! Harry Potter,1
