Slash,freq
Harry Potter,555
Draco Malfoy,255
Severus Snape,159
Remus Lupin,48
Tom Riddle,43
Sirius Black,41
Voldemort,34
Lucius Malfoy,29
Ron Weasley,24
Theodore Nott,17
Charlie Weasley,16
Hermione Granger,15
James Sirius Potter,13
Blaise Zabini,12
none,12
Scorpius Malfoy,11
Albus Severus Potter,10
Original Percival Graves,9
Teddy Lupin,9
Original Male Character,8
Albus Dumbledore,8
Credence Barebone,8
James Potter,7
Cedric Diggory,7
Bill Weasley,7
Neville Longbottom,7
Gellert Grindelwald,7
Oliver Wood,7
George Weasley,7
Regulus Black,6
Fred Weasley,6
Ginny Weasley,6
Percy Weasley,5
Cormac McLaggen,4
Vernon Dursley,3
Colin Creevey,3
Seamus Finnigan,3
Lily Evans Potter,3
Tom Riddle | Harry Potter,3
Edward Cullen,3
Luna Lovegood,3
Carlisle Cullen,3
Tony Stark,3
Dudley Dursley,3
Harry Potter - Relationship,3
Original Female Character,2
Tobias Snape,2
Dean Thomas,2
Multi,2
Dean Winchester,2
Gilderoy Lockhart,2
Hugo Weasley,2
Quirinus Quirrell,2
Dolores Umbridge,2
Godric (True Blood),2
Angelina Johnson,2
Adrian Pucey,2
Marcus Flint,2
Minerva McGonagall,2
Dick Grayson,2
Original Character,2
Oliver Queen,2
Fenrir Greyback,2
James Bucky Barnes,2
Fushichou Marco | Phoenix Marco,2
Viktor Krum,2
OMC,2
Rodolphus Lestrange,2
Richard B. Riddick,2
Marauders,2
Daphne Greengrass,1
Pansy Parkinson,1
Asami Ryuichi,1
Petunia Evans Dursley,1
L,1
Euphemia Potter,1
Fleamont Potter,1
Gomez Addams,1
Morticia Addams,1
Lucifer (Supernatural),1
Natsu Dragneel,1
Rick Grimes,1
Jason Todd,1
Koriand&#39;r,1
Roy Harper,1
Relationship Tags to Be Added,1
Abraxas Malfoy,1
Orion Black,1
Rose Weasley,1
TK Strand,1
Fíli,1
Kíli (Tolkien),1
Aberforth Dumbledore,1
Caspian,1
Peter Pevensie,1
Shane Walsh,1
Gabriel (Supernatural),1
harry,1
multiple,1
Black Family,1
Jack Skellington,1
