Slash,freq
Harry Potter,194
Draco Malfoy,88
Severus Snape,50
Remus Lupin,23
Sirius Black,15
Voldemort,14
Lucius Malfoy,13
Tom Riddle,12
Theodore Nott,11
Charlie Weasley,7
Ron Weasley,7
Hermione Granger,7
Original Male Character,6
Credence Barebone,6
Original Percival Graves,6
Blaise Zabini,5
Oliver Wood,4
James Sirius Potter,4
Cormac McLaggen,4
Colin Creevey,3
Teddy Lupin,3
George Weasley,3
none,3
Harry Potter - Relationship,3
Original Female Character,2
Bill Weasley,2
Neville Longbottom,2
Hugo Weasley,2
Quirinus Quirrell,2
Godric (True Blood),2
Fred Weasley,2
Marcus Flint,2
Fenrir Greyback,2
Vernon Dursley,2
Cedric Diggory,2
James Bucky Barnes,2
Percy Weasley,2
Albus Severus Potter,2
Marauders,2
Regulus Black,1
Asami Ryuichi,1
L,1
Gomez Addams,1
Morticia Addams,1
Tobias Snape,1
TK Strand,1
Tom Riddle | Harry Potter,1
Adrian Pucey,1
Black Family,1
Ginny Weasley (briefly) Harry Potter,1
James Potter,1
Thranduil,1
Oliver Queen,1
Slade Wilson,1
Other Relationship Tags to Be Added,1
Lavender Brown,1
Parvati Patil,1
Eleventh Doctor,1
Edward Cullen,1
Angelina Johnson,1
Aro,1
Carlisle Cullen,1
Thomas Andre (Solo Leveling),1
OMC,1
Horace Slughorn,1
Barry Allen,1
Barca,1
Pietros,1
Tony Stark,1
Gannicus (Spartacus),1
Antonin Dolohov,1
Thorfinn Rowle,1
Eric Northman,1
Jean - Claude (Anita Blake),1
Lily Luna Potter,1
Frodo Baggins,1
Glorfindel,1
Anthony Goldstein,1
Michael Corner,1
Weasley Twins,1
Lance Sweets,1
Ginny Weasley,1
Dudley Dursley,1
Rodolphus Lestrange,1
Cedric,1
Harry,1
Sesshomaru,1
Harry - Relationship,1
Fabian Prewett,1
Gideon Prewett,1
Rhaegar Targaryen,1
Scorpius Malfoy,1
Jonathan Rosier - Relationship,1
Original Characterx3,1
Wolfram von Bielefeld,1
Logan (X - Men),1
Viktor Krum,1
