Slow Build,freq
Harry Potter,291
Draco Malfoy,264
Hermione Granger,166
Severus Snape,103
Original Female Character,100
Sirius Black,54
Remus Lupin,52
Tom Riddle,38
Reader,32
none,28
James Potter,21
Voldemort,20
Lily Evans Potter,19
Fred Weasley,17
George Weasley,16
Ron Weasley,13
Lucius Malfoy,11
Regulus Black,9
Ginny Weasley,9
Theodore Nott,8
Original Male Character,8
Newt Scamander,8
James Sirius Potter,7
Blaise Zabini,7
Original Character,5
Luna Lovegood,5
Charlie Weasley,5
Oliver Wood,5
Albus Dumbledore,5
Neville Longbottom,5
Credence Barebone,5
Original Percival Graves,5
Bellatrix Black Lestrange,5
Scorpius Malfoy,5
Teddy Lupin,4
Gellert Grindelwald,4
Bill Weasley,4
Rose Weasley,4
Astoria Greengrass,4
Cedric Diggory,4
Arthur Pendragon (Merlin),4
Merlin,4
Daphne Greengrass,3
Dean Winchester,3
Ron Weasley (family),3
Percy Jackson,2
Pansy Parkinson,2
Alec Lightwood,2
Magnus Bane,2
Player Character,2
Marcus Flint,2
Fenrir Greyback,2
Alastor Moody,2
Peter Pettigrew,2
Lily Luna Potter,2
Loki ,2
Fleur Delacour,2
Dean Thomas,2
Nymphadora Tonks,2
Kanda Yuu,2
Clint Barton,2
Phil Coulson,2
Narcissa Black Malfoy,2
Seamus Finnigan,2
Percy Weasley,2
Eddie Kaspbrak,2
Richie Tozier,2
Aleta Ogord,1
Stakar Ogord,1
Corpse Husband,1
Jeremy Wang,1
Rachel Rae Hofstetter,1
Sykkuno,1
Hermine Granger,1
L,1
Merula Snyde,1
Penny Haywood,1
John Watson,1
Sherlock Holmes,1
Lee Jordan,1
Emmeline Vance,1
Past Cecilia,1
Tom Riddle Sr.,1
Nigel Wolpert,1
Sally - Anne Perks,1
Jude Law,1
Darth Maul,1
Harry Styles,1
Louis Tomlinson,1
Jack Sloper,1
Mandy Brocklehurst,1
Lavender Brown,1
Parvati Patil,1
Hannah Abbott,1
Kim Taehyung | V,1
Tadashi Hamada,1
pre Harry Potter,1
Sebastian Michaelis,1
Remus x Original Character,1
Original Male Character - Relationship,1
Marius Mercator (OMC),1
