Slow Burn,freq
Draco Malfoy,1513
Harry Potter,1508
Hermione Granger,1033
Original Female Character,576
Sirius Black,545
Remus Lupin,515
Severus Snape,447
Tom Riddle,263
James Potter,177
Reader,174
Lily Evans Potter,127
Voldemort,121
Fred Weasley,119
George Weasley,88
Ron Weasley,87
none,79
Ginny Weasley,70
Original Character,63
Regulus Black,61
Bellatrix Black Lestrange,60
Scorpius Malfoy,55
Lucius Malfoy,52
Newt Scamander,48
Luna Lovegood,44
Narcissa Black Malfoy,43
Neville Longbottom,39
Pansy Parkinson,35
Original Male Character,35
Albus Severus Potter,34
Charlie Weasley,33
Original Percival Graves,32
Cedric Diggory,31
Oliver Wood,26
Fleur Delacour,25
Gellert Grindelwald,21
James Sirius Potter,21
Percy Weasley,20
Theodore Nott,20
Rose Weasley,20
Nymphadora Tonks,19
Albus Dumbledore,19
Blaise Zabini,19
Credence Barebone,18
Tina Goldstein,17
Rey,15
Kylo Ren,13
Marlene McKinnon,13
Marcus Flint,12
Teddy Lupin,12
Andromeda Black Tonks,11
Astoria Greengrass,11
Viktor Krum,10
Minerva McGonagall,10
Theseus Scamander,10
Merlin,9
Other,8
Lily Evans,8
Player Character,8
Bill Weasley,8
Peter Pettigrew,7
Ted Tonks,7
Daphne Greengrass,7
James Bucky Barnes,7
Peter Parker,6
Dean Thomas,6
Keith,6
Loki ,6
Rabastan Lestrange,6
Salazar Slytherin,6
Arthur Pendragon (Merlin),6
wolfstar - Relationship,5
Antonin Dolohov,5
Aziraphale,5
Crowley ,5
Dorcas Meadowes,5
Merula Snyde,5
Victoire Weasley,5
Lance (Voltron),5
Nico di Angelo,5
Dean Winchester,5
Loki,5
Ben Solo,5
Peter Hale,4
OFC,4
Leta Lestrange,4
Katie Bell,4
Seamus Finnigan,4
Angelina Johnson,4
Steve Rogers,4
Harry Styles,4
Hannibal Lecter,4
Bartemius Crouch Jr.,4
Millicent Bulstrode,4
Minor or Background Relationship,4
Player Character (Hogwarts Mystery),4
Stiles Stilinski,3
Parvati Patil,3
Alec Lightwood,3
Magnus Bane,3
Hannah Abbott,3
Penny Haywood,3
