Slytherin Harry Potter,freq
Harry Potter,621
Draco Malfoy,222
none,163
Tom Riddle,103
Voldemort,75
Severus Snape,74
Hermione Granger,62
Ron Weasley,31
Original Female Character,29
Lily Evans Potter,26
James Potter,24
Sirius Black,22
Daphne Greengrass,14
Blaise Zabini,14
Theodore Nott,13
Remus Lupin,12
Other Relationship Tags to Be Added,11
Lucius Malfoy,11
Luna Lovegood,9
Neville Longbottom,9
Reader,9
Fred Weasley,8
Regulus Black,8
Cedric Diggory,8
Petunia Evans Dursley,8
Ginny Weasley,8
Original Male Character,7
Albus Dumbledore,6
Narcissa Black Malfoy,6
Marcus Flint,6
Orion Black,5
Vernon Dursley,5
Slytherin Students,5
Pansy Parkinson,5
Original Character,5
Loki ,5
Gellert Grindelwald,4
Bellatrix Black Lestrange,4
Fenrir Greyback,3
Death,3
Damian Wayne,3
Nagini,3
Salazar Slytherin,3
Merlin (Merlin),3
Other,3
Anakin Skywalker,2
Walburga Black,2
No Romantic Relationship,2
Weasley Family,2
none yet,2
George Weasley,2
Astoria Greengrass,2
Gomez Addams,2
Morticia Addams,2
Dean Thomas,2
Seamus Finnigan,2
Blaine Anderson,2
not yet - Relationship,2
Arthur Weasley,2
Molly Weasley,2
Oliver Wood,2
Tony Stark,2
Terence Higgs,2
Rodolphus Lestrange,2
?,2
they are eleven,2
Justin Finch - Fletchley,1
Morag MacDougal,1
Daryl Dixon,1
Padmé Amidala,1
Relationships TBA,1
Female Harry Potter,1
Nymphadora Tonks,1
Tags will be added as they appear - Relationship,1
No relationships until at least the fourth part,1
canon relationships for the parents,1
pepperony,1
they&#39;re eleven,1
Stiles Slytherin,1
Peter Hale,1
Past James Potter,1
Fleur Delacour,1
Abraxas Malfoy,1
No Pairings Until Fourth Year,1
Sorting Hat,1
Jinwoo,1
Sarang,1
background Sirius Black,1
Jasper Hale,1
Padma Patil,1
Parvati Patil,1
Sansa Stark,1
Basilisk,1
Fawkes (Harry Potter),1
Frank Castle,1
Edward Cullen,1
Della Cabric Steel,1
Traxen Lovegood Bolt,1
Petunia Evans,1
surprise,1
Kurt Hummel,1
