Slytherin Harry Potter,freq
Harry Potter,69
Tom Riddle,23
Draco Malfoy,17
Severus Snape,10
Voldemort,8
Sirius Black,4
Lucius Malfoy,4
Original Female Character,3
Fenrir Greyback,2
Original Male Character,2
Blaise Zabini,2
Fred Weasley,1
Death,1
Female Harry Potter,1
Bellatrix Black Lestrange,1
Peter Hale,1
Hermione Granger,1
Regulus Black,1
not yet - Relationship,1
Reader,1
Diary Tom Riddle,1
Ron Weasley,1
Andromeda Black Tonks,1
Ted Tonks,1
Marcus Flint,1
Other,1
Narcissa Black Malfoy,1
Remus Lupin,1
Theodore Nott,1
none,1
Ginny Weasley,1
Jonathan Rosier - Relationship,1
OFC,1
