Slytherin,freq
Draco Malfoy,223
Original Female Character,191
none,134
Harry Potter,114
Reader,79
Hermione Granger,52
Severus Snape,43
Sirius Black,38
Original Character,37
Tom Riddle,30
Remus Lupin,24
Fred Weasley,21
Regulus Black,20
Blaise Zabini,20
James Potter,19
Original Male Character,18
Lily Evans Potter,17
Theodore Nott,17
Scorpius Malfoy,15
Ginny Weasley,14
Pansy Parkinson,13
Ron Weasley,12
Albus Severus Potter,12
George Weasley,11
Cedric Diggory,9
Lucius Malfoy,9
Daphne Greengrass,8
Astoria Greengrass,8
Narcissa Black Malfoy,7
Bellatrix Black Lestrange,7
Oliver Wood,6
Luna Lovegood,6
Merula Snyde,6
Player Character,6
Other,5
Adrian Pucey,5
Voldemort,4
Rose Weasley,4
Charlie Weasley,4
Andromeda Black Tonks,4
Neville Longbottom,4
Seamus Finnigan,3
Harry Styles,3
Louis Tomlinson,3
Undecided,3
Millicent Bulstrode,3
Blaine Anderson,3
Stiles Stilinski,2
Rabastan Lestrange,2
Minerva McGonagall,2
Orion Black,2
Abraxas Malfoy,2
Peter Pettigrew,2
Marcus Flint,2
Kurt Hummel,2
Orignal Character,2
Salazar Slytherin,2
No Romantic Relationship,2
Ted Tonks,2
Aurora Sinistra,2
Teddy Lupin,2
Gellert Grindelwald,2
Walburga Black,2
Evan Rosier,2
OFC,2
Kunzite,1
Zoisite,1
? - Relationship,1
John Watson,1
Sherlock Holmes,1
Gregory Goyle,1
Corpse Husband,1
Jeremy Wang,1
Rachel Rae Hofstetter,1
Sykkuno,1
Rose Holmes,1
Orion Amari,1
Madeleine Malfoy,1
Semi Eita,1
Shirabu Kenjirou,1
Evelyn Chambers,1
Severus Snape x Reader,1
enemies to lovers - Relationship,1
Wong Yuk Hei | Lucas,1
Akaashi Keiji,1
Bokuto Koutarou,1
James,1
Miya Atsumu,1
Miya Osamu,1
Other Relationship Tags to Be Added,1
Chae Hyungwon,1
pepperony,1
Stiles Slytherin,1
Asterin Nott,1
The Hippie | JC Caylen,1
The Investigative Reporter | Safiya Nygaard,1
Draco Malfoy and Madeleine Desrosiers,1
Loki ,1
Tom Riddle Sr.,1
Keagan Macmillan,1
Lady Macmillan,1
