Smut,freq
Hermione Granger,1507
Draco Malfoy,1473
Harry Potter,1096
Severus Snape,482
Sirius Black,360
Reader,338
Remus Lupin,331
Original Female Character,318
Tom Riddle,139
Lucius Malfoy,113
Bellatrix Black Lestrange,110
Ron Weasley,99
James Potter,98
Ginny Weasley,97
Fred Weasley,93
Pansy Parkinson,89
Theodore Nott,74
George Weasley,73
Lily Evans Potter,65
Charlie Weasley,62
none,61
Voldemort,58
Narcissa Black Malfoy,57
Neville Longbottom,54
Scorpius Malfoy,51
Albus Dumbledore,41
Blaise Zabini,39
Luna Lovegood,36
Albus Severus Potter,35
Original Character,32
Gellert Grindelwald,31
Original Percival Graves,29
Original Male Character,29
Bill Weasley,26
Fleur Delacour,25
Newt Scamander,22
Credence Barebone,21
Nymphadora Tonks,18
Regulus Black,18
Teddy Lupin,18
James Sirius Potter,15
Oliver Wood,15
Viktor Krum,15
Cormac McLaggen,15
Daphne Greengrass,14
Cedric Diggory,14
Marcus Flint,14
Thorfinn Rowle,13
Antonin Dolohov,11
Rose Weasley,11
Marlene McKinnon,11
Other,10
Player Character (Hogwarts Mystery),10
Finn O&#39;Hara,10
Fenrir Greyback,10
Arthur Weasley,10
Percy Weasley,10
Tina Goldstein,10
Minerva McGonagall,10
Leo Knut,9
Logan Tremblay (lumosinlove),9
Molly Weasley,8
Aurora Sinistra,8
Bartemius Crouch Jr.,7
Lavender Brown,7
Drarry - Relationship,7
Theseus Scamander,7
Kylo Ren,6
Steve Rogers,6
Dean Thomas,6
Tony Stark,6
Dean Winchester,6
Padma Patil,6
Draco,6
Seamus Finnigan,6
Rabastan Lestrange,5
Victoire Weasley,5
Parvati Patil,5
Lily Luna Potter,5
Player Character,5
Susan Bones,4
Jae Kim,4
Adrian Pucey,4
Andromeda Black Tonks,4
Apple,4
Loki ,4
Rey,4
Rubeus Hagrid,4
Jeon Jungkook,4
Snape,4
Alastor Moody,4
Barnaby Lee,4
Millicent Bulstrode,3
Gregory Goyle,3
Hermione,3
Lily Evans,3
Peter Pettigrew,3
Poppy Pomfrey,3
Angelina Johnson,3
Horace Slughorn,3
Dominique Weasley,3
