Smut,freq
Hermione Granger,1195
Draco Malfoy,1052
Harry Potter,832
Severus Snape,385
Sirius Black,235
Remus Lupin,215
Original Female Character,186
Reader,175
Tom Riddle,91
Lucius Malfoy,87
Bellatrix Black Lestrange,81
Pansy Parkinson,72
Ginny Weasley,71
Ron Weasley,70
James Potter,69
Theodore Nott,62
Fred Weasley,60
Charlie Weasley,53
George Weasley,47
Voldemort,45
Neville Longbottom,44
Lily Evans Potter,44
Narcissa Black Malfoy,40
Scorpius Malfoy,34
Blaise Zabini,30
Luna Lovegood,28
Albus Dumbledore,28
Original Percival Graves,26
Albus Severus Potter,26
Gellert Grindelwald,25
Fleur Delacour,22
Original Character,20
Bill Weasley,20
Original Male Character,19
none,18
Credence Barebone,18
Teddy Lupin,17
Nymphadora Tonks,15
Newt Scamander,15
Regulus Black,13
Cormac McLaggen,13
Viktor Krum,12
Thorfinn Rowle,12
Daphne Greengrass,11
Oliver Wood,11
James Sirius Potter,10
Marcus Flint,10
Arthur Weasley,10
Player Character (Hogwarts Mystery),9
Fenrir Greyback,8
Marlene McKinnon,8
Molly Weasley,8
Tina Goldstein,8
Aurora Sinistra,8
Antonin Dolohov,7
Minerva McGonagall,7
Rose Weasley,7
Dean Thomas,6
Lavender Brown,6
Dean Winchester,6
Theseus Scamander,6
Cedric Diggory,5
Victoire Weasley,5
Percy Weasley,5
Padma Patil,5
Bartemius Crouch Jr.,5
Seamus Finnigan,5
Susan Bones,4
Jae Kim,4
Rabastan Lestrange,4
Andromeda Black Tonks,4
Other,4
Draco,4
Parvati Patil,4
Alastor Moody,4
Player Character,4
Barnaby Lee,4
Finn O&#39;Hara,3
Leo Knut,3
Steve Rogers,3
Millicent Bulstrode,3
Loki ,3
Tony Stark,3
Gregory Goyle,3
Lily Luna Potter,3
Peter Pettigrew,3
Rubeus Hagrid,3
Poppy Pomfrey,3
Jeon Jungkook,3
Angelina Johnson,3
Horace Slughorn,3
Dominique Weasley,3
Drarry - Relationship,3
Asami Ryuichi,2
Logan Tremblay (lumosinlove),2
Moaning Myrtle,2
Harem,2
Hannah Abbott,2
Adrian Pucey,2
Hermione,2
Everyone,2
