Soulmates,freq
Harry Potter,470
Hermione Granger,268
Draco Malfoy,252
Tom Riddle,90
Severus Snape,88
Remus Lupin,80
Sirius Black,74
Voldemort,59
Original Female Character,56
James Potter,47
Reader,30
Fred Weasley,28
Lily Evans Potter,26
George Weasley,20
Regulus Black,19
Bellatrix Black Lestrange,19
Ginny Weasley,19
Luna Lovegood,17
Ron Weasley,16
Charlie Weasley,15
Pansy Parkinson,15
Newt Scamander,14
Theodore Nott,14
Loki ,14
Neville Longbottom,14
Gellert Grindelwald,13
Scorpius Malfoy,13
none,13
Albus Severus Potter,12
Albus Dumbledore,11
Narcissa Black Malfoy,11
Tony Stark,11
Fleur Delacour,11
Lucius Malfoy,10
Original Percival Graves,9
Cedric Diggory,9
Bill Weasley,9
Blaise Zabini,9
Percy Weasley,9
Original Male Character,8
Nymphadora Tonks,7
Marcus Flint,7
Teddy Lupin,6
Original Character,6
Astoria Greengrass,5
Seamus Finnigan,5
Salazar Slytherin,5
Tina Goldstein,5
Oliver Wood,5
Abraxas Malfoy,4
Dean Thomas,4
Jacob Black,4
Other Relationship Tags to Be Added,4
Rodolphus Lestrange,4
Sherlock Holmes,4
Edward Cullen,4
Daphne Greengrass,4
Loki,4
Other,3
Lavender Brown,3
Viktor Krum,3
Thorfinn Rowle,3
Kuroo Tetsurou,3
Credence Barebone,3
Kylo Ren,3
Rey,3
Dean Winchester,3
Mycroft Holmes,3
Fenrir Greyback,3
James Sirius Potter,3
Yagami Light,2
Angelina Johnson,2
Minerva McGonagall,2
Dudley Dursley,2
Cho Chang,2
Rabastan Lestrange,2
Katie Bell,2
Nick Fury,2
Portgas D. Ace,2
Obi - Wan Kenobi,2
Jasper Hale,2
James Bucky Barnes,2
Akagami no Shanks | Red - Haired Shanks,2
Cor Leonis,2
Narcissa Black,2
Thor,2
Steve Rogers,2
Arthur Weasley,2
Molly Weasley,2
Louis Weasley,2
Skull (Katekyou Hitman Reborn!),2
Argus Filch,2
Padma Patil,1
Parvati Patil,1
Asami Ryuichi,1
Peter Pettigrew,1
L,1
OFC,1
Tenth Doctor,1
James,1
Sirius,1
