Soulmates,freq
Harry Potter,104
Hermione Granger,62
Draco Malfoy,44
Severus Snape,39
Tom Riddle,15
Voldemort,12
Remus Lupin,9
Sirius Black,9
Original Female Character,8
James Potter,7
Bellatrix Black Lestrange,5
Charlie Weasley,5
Theodore Nott,4
Nymphadora Tonks,3
Loki ,3
Fleur Delacour,3
Jacob Black,3
Pansy Parkinson,3
Gellert Grindelwald,2
Newt Scamander,2
Neville Longbottom,2
Cedric Diggory,2
Percy Weasley,2
Credence Barebone,2
Original Percival Graves,2
Reader,2
Thorfinn Rowle,2
Rodolphus Lestrange,2
Ginny Weasley,2
Padma Patil,1
Parvati Patil,1
Fred Weasley,1
Albus Dumbledore,1
James,1
Sirius,1
Yagami Light,1
Angus MacGyver (MacGyver TV 2016),1
Gilderoy Lockhart,1
Viktor Krum,1
Sam Uley,1
Thranduil (Tolkien),1
Ron Weasley,1
Thranduil,1
Lily Evans Potter,1
Oliver Wood,1
Other Relationship Tags to Be Added,1
Kuroo Tetsurou,1
Tsukishima Kei,1
Nick Fury,1
Original Male Character,1
Female Harry Potter,1
Kara Zor - El,1
Harem,1
Regulus Black,1
Fushichou Marco | Phoenix Marco,1
Tina Goldstein,1
Eric Northman,1
Albus Severus Potter,1
Scorpius Malfoy,1
Kylo Ren,1
Rey,1
Thorin Oakenshield,1
none,1
Damon Salvatore,1
Kreacher,1
Teddy Lupin,1
Fenrir Greyback,1
Bill Weasley,1
Abraxas Malfoy,1
?,1
FemHarry,1
Akagami no Shanks | Red - Haired Shanks,1
Other,1
Eren Yeager,1
Levi,1
Minor or Background Relationship,1
