Swearing,freq
Harry Potter,196
Draco Malfoy,180
Sirius Black,145
Remus Lupin,125
Hermione Granger,103
none,59
Severus Snape,56
Reader,41
James Potter,39
Original Female Character,36
Lily Evans Potter,24
Regulus Black,19
Tom Riddle,18
Ron Weasley,17
Ginny Weasley,14
Pansy Parkinson,13
Neville Longbottom,10
Fred Weasley,10
Original Character,10
Charlie Weasley,9
George Weasley,8
Oliver Wood,8
Albus Dumbledore,7
Original Male Character,7
Voldemort,7
Marcus Flint,7
Percy Weasley,7
Nymphadora Tonks,6
Albus Severus Potter,6
Loki ,5
Newt Scamander,5
Lucius Malfoy,5
Bellatrix Black Lestrange,4
Tony Stark,4
Cedric Diggory,4
Minerva McGonagall,4
Scorpius Malfoy,4
Rodolphus Lestrange,3
Death,3
Dean Winchester,3
Marlene McKinnon,3
Tina Goldstein,3
Narcissa Black Malfoy,3
Peter Pettigrew,3
Blaise Zabini,3
Victoire Weasley,2
Gellert Grindelwald,2
Original Character Roark Potter,2
Alastor Moody,2
Bartemius Crouch Jr.,2
Bill Weasley,2
Nico di Angelo,2
Will Solace,2
Theodore Nott,2
Alicia Spinnet,2
Dorcas Meadowes,2
Katie Bell,2
James Sirius Potter,2
Ebony Dark&#39;ness Dementia Raven Way,2
Rabastan Lestrange,2
Percy Jackson,2
Viren (The Dragon Prince),2
Luna Lovegood,2
?,2
Natasha Romanov ,2
Daphne Greengrass,2
Michael Corner,2
Ginevra Weasley,2
Pepper Potts,2
creepypasta,1
harry potter,1
Teddy Lupin,1
Elsa (Disney),1
Queer platonic shit,1
Grant Chapman (MsKingBean89),1
Oliver Queen,1
Robert Queen,1
just a bit of romance but nothing graphic,1
Eric Northman,1
Godric,1
Bakugou Katsuki,1
Midoriya Izuku,1
Undecided,1
John Winchester,1
Mary Winchester,1
Fem Harry Potter,1
Fred Weasely,1
Mary Riddle,1
Thomas Riddle,1
Katsuki Yuuri,1
Victor Nikiforov,1
Harry,1
Lily Luna Potter,1
Phil Watson,1
Technoblade,1
TommyInnit,1
Wilbur Soot,1
Sandor Clegane,1
Drarry - Relationship,1
Gregory Goyle,1
Amethyst Black (Original Character),1
