Time Travel,freq
Harry Potter,977
Hermione Granger,617
Tom Riddle,414
none,262
Draco Malfoy,236
Severus Snape,193
Sirius Black,169
Voldemort,135
James Potter,106
Remus Lupin,84
Lily Evans Potter,75
Original Female Character,72
Regulus Black,63
Ginny Weasley,60
Ron Weasley,46
Bellatrix Black Lestrange,33
Scorpius Malfoy,25
Luna Lovegood,25
Gellert Grindelwald,20
Albus Severus Potter,19
Orion Black,19
Albus Dumbledore,19
Fred Weasley,18
Salazar Slytherin,17
Newt Scamander,17
Teddy Lupin,16
Steve Rogers,14
Narcissa Black Malfoy,13
Original Character,13
Godric Gryffindor,12
Neville Longbottom,11
Original Percival Graves,11
George Weasley,11
Lucius Malfoy,10
Original Male Character,9
James Bucky Barnes,9
Peter Pettigrew,9
Abraxas Malfoy,9
Reader,8
Pansy Parkinson,8
Daphne Greengrass,8
Cedric Diggory,7
Charlie Weasley,6
Nymphadora Tonks,6
Rose Weasley,6
Death,6
James Sirius Potter,6
Gideon Prewett,6
Loki ,6
Sheev Palpatine,6
Percy Jackson,6
Edward Cullen,5
Theodore Nott,5
Bill Weasley,5
Fleur Delacour,5
Victoire Weasley,5
Theseus Scamander,5
Amelia Bones,5
Arthur Weasley,4
Molly Weasley,4
Aziraphale,4
Crowley ,4
Loki,4
Lily Luna Potter,4
Tony Stark,4
Percy Weasley,4
Helga Hufflepuff,4
Jack Sparrow,4
Seamus Finnigan,4
Minor or Background Relationship,4
Antonin Dolohov,3
Tom Riddle Sr.,3
Petunia Evans Dursley,3
?,3
Nico di Angelo,3
Other,3
Rowena Ravenclaw,3
Peter Parker,3
Minerva McGonagall,3
Dorcas Meadowes,3
Ron Weasley (family),3
older!Abernathy,3
younger!Abernathy,3
None,3
Padma Patil,2
Parvati Patil,2
Undecided,2
Angel Dust (Hazbin Hotel),2
Alphard Black,2
none yet,2
Jane Foster,2
Other Relationship Tags to Be Added,2
Clark Kent,2
Walburga Black,2
Bella Swan,2
Astoria Greengrass,2
Blaise Zabini,2
Akagi Touma,2
Aoi Itsuki,2
Merlin,2
Nizar Slytherin,2
