Time Travel,freq
Harry Potter,142
Hermione Granger,135
Tom Riddle,77
Severus Snape,55
Draco Malfoy,40
Voldemort,25
Sirius Black,25
none,14
Remus Lupin,10
Bellatrix Black Lestrange,8
James Potter,6
Ron Weasley,5
Original Female Character,5
Regulus Black,4
Ginny Weasley,4
Gellert Grindelwald,4
Narcissa Black Malfoy,4
Arthur Weasley,3
Salazar Slytherin,3
Reader,2
Molly Weasley,2
Luna Lovegood,2
James Bucky Barnes,2
Theodore Nott,2
Sheev Palpatine,2
Albus Dumbledore,2
Lucius Malfoy,2
Abraxas Malfoy,2
Haytham Kenway,2
Padma Patil,1
Parvati Patil,1
Asami Ryuichi,1
Bellamy Blake,1
Angel Dust (Hazbin Hotel),1
Lily Evans Potter,1
Death,1
Clark Kent,1
Angus MacGyver (MacGyver TV 2016),1
Merlin,1
Morgana,1
Niumeh,1
Jafar,1
Lucy Heartfilia,1
Natsu Dragneel,1
Orion Black,1
Jack Sparrow,1
Original Percival Graves,1
So Many &#39;Ships On Which To Set Sail - but which to pick?,1
Undetermined!,1
Original Character,1
Original Male Character,1
Jon Snow,1
Margaery Tyrell,1
Ygritte,1
Carlisle Cullen,1
James Sirius Potter,1
Pomona Sprout,1
Dean Winchester,1
Newt Scamander,1
Dr. Victor Von Doom,1
Loki Laufeyson,1
Fabian Prewett,1
Hannah Abbott,1
Female Harry Potter,1
Kara Zor - El,1
Charlie Weasley,1
Hag,1
OMC,1
Viktor Krum,1
Ernie Macmillan,1
Minerva McGonagall,1
Twelfth Doctor,1
Cedric Diggory,1
Fred Weasley,1
George Weasley,1
Edward Kenway,1
Antonin Dolohov,1
Shay Cormac,1
Steve Rogers,1
Other,1
Imhotep,1
Minor or Background Relationship,1
