Tooth - Rotting Fluff,freq
Harry Potter,306
Draco Malfoy,261
Hermione Granger,130
Remus Lupin,111
Sirius Black,106
Reader,67
Original Female Character,64
Severus Snape,36
James Potter,33
Fred Weasley,32
Tom Riddle,31
Ron Weasley,29
Ginny Weasley,25
Voldemort,24
Lily Evans Potter,24
Luna Lovegood,24
Scorpius Malfoy,21
Neville Longbottom,20
none,17
Original Percival Graves,12
Albus Severus Potter,12
Newt Scamander,12
George Weasley,11
Cedric Diggory,11
Theodore Nott,10
Credence Barebone,10
Rose Weasley,9
Blaise Zabini,9
Pansy Parkinson,8
Jeon Jungkook,8
Kim Taehyung | V,8
Oliver Wood,7
Molly Weasley,7
Lucius Malfoy,6
Fleur Delacour,6
Arthur Weasley,6
Charlie Weasley,5
Teddy Lupin,5
Dean Thomas,4
Original Male Character,4
Tina Goldstein,4
Minerva McGonagall,4
Steve Rogers,3
Tony Stark,3
James Bucky Barnes,3
Marcus Flint,3
Albus Dumbledore,3
Player Character,3
Daphne Greengrass,3
James Sirius Potter,3
Gellert Grindelwald,3
Bill Weasley,3
Victoire Weasley,3
Choi Seungcheol | S.Coups,2
Hong Jisoo | Joshua,2
Yoon Jeonghan,2
Caspian (Narnia),2
Katara,2
Zuko (Avatar),2
Lee Jordan,2
Hannah Abbott,2
Bellatrix Black Lestrange,2
Loki,2
Seamus Finnigan,2
Annabeth Chase,2
Percy Jackson,2
Dorcas Meadowes,2
Marlene McKinnon,2
Peter Pettigrew,2
Ernie Macmillan,2
o&#39;knutzy - Relationship,2
Narcissa Black Malfoy,2
Viktor Krum,2
Dean Winchester,2
Rubeus Hagrid,2
Orion Black,2
Nymphadora Tonks,2
Percy Weasley,2
Original Character,2
Regulus Black,2
Evan Rosier,2
Akaashi Keiji,2
Bokuto Koutarou,2
Grail Ashford,1
Godric Gryffindor,1
Helga Hufflepuff,1
Rowena Ravenclaw,1
Salazar Slytherin,1
Harry Hart | Galahad,1
Jane Foster,1
Susan Bones,1
Azula (Avatar),1
Anakin Skywalker,1
Damian Wayne,1
Richard Winters,1
Ares,1
Hypnos (Hades Video Game),1
Barnaby Lee,1
Anthony Goldstein,1
female harry potter,1
voldemort,1
