Tooth - Rotting Fluff,freq
Harry Potter,21
Draco Malfoy,19
Hermione Granger,12
Severus Snape,5
Voldemort,5
Credence Barebone,5
Original Percival Graves,5
Tom Riddle,4
Fred Weasley,3
Remus Lupin,2
Sirius Black,2
Original Female Character,2
Reader,2
Original Male Character,2
Harry Hart | Galahad,1
Theodore Nott,1
Albus Dumbledore,1
Charlie Weasley,1
Dean Winchester,1
Newt Scamander,1
Asami Ryuichi,1
Lysander Scamander,1
Rose Weasley,1
Steve Rogers,1
Arthur Weasley,1
Molly Weasley,1
Neville Longbottom,1
