Vaginal Fingering,freq
Hermione Granger,312
Draco Malfoy,148
Harry Potter,112
Severus Snape,83
Reader,68
Pansy Parkinson,59
Ginny Weasley,59
Original Female Character,32
Tom Riddle,29
Ron Weasley,28
Luna Lovegood,24
Sirius Black,22
Bellatrix Black Lestrange,19
Remus Lupin,19
Lucius Malfoy,17
Narcissa Black Malfoy,15
Nymphadora Tonks,13
Lily Evans Potter,12
Fred Weasley,12
none,12
Fleur Delacour,12
Neville Longbottom,11
Charlie Weasley,11
George Weasley,10
Rose Weasley,8
Lily Luna Potter,8
Bill Weasley,6
Padma Patil,6
Newt Scamander,6
Original Character,5
Daphne Greengrass,5
James Potter,5
Arthur Weasley,5
Player Character,4
Angelina Johnson,4
Blaise Zabini,4
Molly Weasley,4
Horace Slughorn,4
Thorfinn Rowle,3
Susan Bones,3
Original Male Character,3
Viktor Krum,3
Tina Goldstein,3
Fenrir Greyback,3
Andromeda Black Tonks,3
Cedric Diggory,3
James Sirius Potter,3
Astoria Greengrass,3
Barnaby Lee,3
Minerva McGonagall,3
Rolanda Hooch,3
Adrian Pucey,2
Marlene McKinnon,2
Sybill Trelawney,2
Jae Kim,2
Player Character (Hogwarts Mystery),2
Penny Haywood,2
Parvati Patil,2
Hannah Abbott,2
Regulus Black,2
Rubeus Hagrid,2
Petunia Evans Dursley,2
Jeon Jungkook,2
Voldemort,2
Scorpius Malfoy,2
Antonin Dolohov,2
Gregory Goyle,2
Teddy Lupin,2
Lavender Brown,2
Victoire Weasley,2
Dudley Dursley,2
Queenie Goldstein,2
Rita Skeeter,2
Vernon Dursely,1
Mrs Granger,1
Graham Montague,1
Mr Granger,1
Dorcas Meadowes,1
Frank Zhang,1
Percy Jackson,1
Park Jimin (BTS),1
Wanda Maximoff,1
Cecile Horton,1
Astoria Malfoy,1
dramione,1
Other,1
Bakugou Katsuki,1
Midoriya Izuku,1
Zari Tomaz,1
Lorcan Scamander,1
Darcy Lewis,1
Olympe Maxime,1
Ask Me,1
Girl Of Readerr Dreams,1
Veronica Lodge,1
Septima Vector,1
Hestia Jones,1
Katie Bell,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Rabastan Lestrange,1
