Vaginal Fingering,freq
Hermione Granger,283
Draco Malfoy,129
Harry Potter,96
Severus Snape,66
Pansy Parkinson,53
Ginny Weasley,52
Reader,47
Ron Weasley,24
Tom Riddle,23
Original Female Character,21
Sirius Black,18
Luna Lovegood,17
Lucius Malfoy,16
Bellatrix Black Lestrange,15
Remus Lupin,14
Narcissa Black Malfoy,13
Fred Weasley,12
Fleur Delacour,12
Nymphadora Tonks,11
Lily Evans Potter,10
Neville Longbottom,10
none,10
Charlie Weasley,10
Rose Weasley,8
Lily Luna Potter,8
George Weasley,7
Bill Weasley,6
Daphne Greengrass,5
Newt Scamander,5
Arthur Weasley,5
Padma Patil,5
Player Character,4
James Potter,4
Angelina Johnson,4
Molly Weasley,4
Original Character,4
Horace Slughorn,4
Thorfinn Rowle,3
Viktor Krum,3
Tina Goldstein,3
Andromeda Black Tonks,3
Blaise Zabini,3
James Sirius Potter,3
Barnaby Lee,3
Minerva McGonagall,3
Rolanda Hooch,3
Marlene McKinnon,2
Jae Kim,2
Player Character (Hogwarts Mystery),2
Original Male Character,2
Penny Haywood,2
Parvati Patil,2
Regulus Black,2
Rubeus Hagrid,2
Fenrir Greyback,2
Voldemort,2
Scorpius Malfoy,2
Cedric Diggory,2
Antonin Dolohov,2
Gregory Goyle,2
Teddy Lupin,2
Lavender Brown,2
Victoire Weasley,2
Astoria Greengrass,2
Queenie Goldstein,2
Rita Skeeter,2
Vernon Dursely,1
Mrs Granger,1
Graham Montague,1
Mr Granger,1
Dorcas Meadowes,1
Sybill Trelawney,1
Frank Zhang,1
Percy Jackson,1
Wanda Maximoff,1
Cecile Horton,1
Astoria Malfoy,1
Other,1
Hannah Abbott,1
Zari Tomaz,1
Lorcan Scamander,1
Darcy Lewis,1
Olympe Maxime,1
Ask Me,1
Girl Of Readerr Dreams,1
Veronica Lodge,1
Septima Vector,1
Katie Bell,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Rabastan Lestrange,1
Cho Chang,1
Bathsheda Babbling,1
Jack Sparrow,1
Анна Печорина,1
Жора Феницин (Фен),1
Rogue (X - Men),1
Albus,1
James,1
Scorpius,1
Teddy,1
