Vaginal Sex,freq
Hermione Granger,335
Harry Potter,277
Draco Malfoy,176
Severus Snape,149
Reader,80
Ron Weasley,47
Original Female Character,45
Ginny Weasley,45
Tom Riddle,36
Pansy Parkinson,33
Remus Lupin,33
Sirius Black,30
Lucius Malfoy,29
Narcissa Black Malfoy,24
Lily Evans Potter,24
Charlie Weasley,23
George Weasley,21
Neville Longbottom,18
Fleur Delacour,18
Daphne Greengrass,17
Bellatrix Black Lestrange,17
James Potter,16
Fred Weasley,16
none,14
Luna Lovegood,13
Nymphadora Tonks,13
Newt Scamander,13
Lily Luna Potter,12
Original Character,11
Blaise Zabini,11
Horace Slughorn,11
Bill Weasley,10
Theodore Nott,10
James Sirius Potter,9
Rose Weasley,7
Tina Goldstein,7
Viktor Krum,6
Voldemort,6
Petunia Evans Dursley,6
Natasha Romanov ,6
Andromeda Black Tonks,5
Parvati Patil,5
Leta Lestrange,5
Player Character,5
Lavender Brown,4
Susan Bones,4
Other,4
Dominique Weasley,4
Fenrir Greyback,4
Original Male Character,4
Arthur Weasley,4
Teddy Lupin,4
Albus Severus Potter,4
Barnaby Lee,4
Tony Stark,4
Loki ,4
Antonin Dolohov,3
Astoria Greengrass,3
Player Character (Hogwarts Mystery),3
Hannah Abbott,3
Percy Weasley,3
Molly Weasley,3
Cedric Diggory,3
Theseus Scamander,3
Albus Dumbledore,3
Cormac McLaggen,3
Adrian Pucey,2
Thorfinn Rowle,2
Sybill Trelawney,2
Marlene McKinnon,2
Astoria Malfoy,2
Bakugou Katsuki,2
Marcus Flint,2
Darcy Lewis,2
Abraxas Malfoy,2
Harry,2
Rodolphus Lestrange,2
Delphi,2
Jeon Jungkook,2
Septima Vector,2
Gellert Grindelwald,2
Argus Filch,2
Dudley Dursley,2
Multi,2
Vernon Dursley,2
Aurora Sinistra,2
Queenie Goldstein,2
Minerva McGonagall,2
Clint Barton,2
Kara Zor - El,2
Rubeus Hagrid,2
Circe Avery,1
Mrs Granger,1
Daenerys Targaryen,1
Mr Granger,1
Penny Haywood,1
Eleanor,1
Susan,1
Oliver Wood,1
Hermione - Relationship,1
bill Weasley,1
