Violence,freq
Harry Potter,146
Draco Malfoy,131
Hermione Granger,125
Severus Snape,52
Tom Riddle,34
Original Female Character,26
Sirius Black,19
Remus Lupin,19
Voldemort,19
none,17
Bellatrix Black Lestrange,14
Lucius Malfoy,12
Original Percival Graves,9
Jean - Claude (Anita Blake),8
Narcissa Black Malfoy,8
Edward (Anita Blake),7
Micah Callahan,7
James Potter,6
Reader,6
Regulus Black,6
Newt Scamander,5
Fred Weasley,4
Ron Weasley,4
Ginny Weasley,4
Theodore Nott,4
James Sirius Potter,4
Nymphadora Tonks,3
Luna Lovegood,3
Pansy Parkinson,3
Gellert Grindelwald,3
Original Male Character,3
Credence Barebone,3
Bartemius Crouch Jr.,3
Cedric Diggory,2
Lily Evans Potter,2
Min Yoongi | Suga,2
Daphne Greengrass,2
George Weasley,2
Fenrir Greyback,2
Penelope Clearwater,2
Albus Dumbledore,2
Blaise Zabini,2
Thorfinn Rowle,2
Eileen Prince,2
Teddy Lupin,2
Dean Winchester,2
Angelina Johnson,1
Spike (BtVS),1
Orion Amari,1
Severus Snape x Reader,1
Other Relationship Tags to Be Added,1
Colin Farrell,1
Ezra Miller,1
Merope Gaunt,1
Tom Riddle Sr.,1
Angus MacGyver (MacGyver TV 2016),1
Astoria Greengrass,1
Death,1
Catherine Carter,1
Henry Carter,1
Ianto Jones,1
Jack Harkness,1
Argus Filch,1
Claire Beauchamp,1
Jamie Fraser,1
Margaery Tyrell,1
Seraphina Picquery,1
Delphi,1
Kylo Ren,1
Rey,1
ginny weasley,1
wade winston wilson (deadpool),1
Lavender Brown,1
Seth Clearwater,1
Delphini Riddle,1
Eleonora Severin,1
Rhaenys Targaryen,1
daenerys targaryen,1
dorian havilliard,1
Rabastan Lestrange,1
Remus Lupin (past),1
Theseus Scamander,1
Other,1
Fleur Delacour,1
Mystery Person,1
Jason Schuyler,1
Asami Ryuichi,1
Jax Teller,1
Thomas Teller I,1
Hag,1
Godric Gryffindor,1
Salazar Slytherin,1
Edie Eisenhardt,1
Jakob Eisenhardt,1
Multi,1
Viktor Krum,1
Lily Evans,1
Barca,1
Pietros,1
Brian Kinney,1
Justin Taylor (Queer as Folk),1
