none,freq
none,2164
Harry Potter,2077
Draco Malfoy,1710
Hermione Granger,1321
Severus Snape,701
Sirius Black,526
Remus Lupin,413
Original Female Character,342
Ginny Weasley,324
Albus Dumbledore,282
Lily Evans Potter,248
Gellert Grindelwald,248
James Potter,238
Reader,225
Ron Weasley,186
Tom Riddle,162
Newt Scamander,139
Fred Weasley,137
Lucius Malfoy,120
Luna Lovegood,110
Voldemort,109
George Weasley,100
Pansy Parkinson,86
Nymphadora Tonks,79
Minerva McGonagall,70
Theseus Scamander,69
Regulus Black,67
Neville Longbottom,64
Narcissa Black Malfoy,64
Fleur Delacour,62
Scorpius Malfoy,59
Bellatrix Black Lestrange,58
Charlie Weasley,55
Original Character,53
Blaise Zabini,50
Theodore Nott,47
Oliver Wood,46
Percy Weasley,40
Albus Severus Potter,36
Cedric Diggory,36
Bill Weasley,36
Marlene McKinnon,35
Drarry - Relationship,35
Astoria Greengrass,34
Daphne Greengrass,30
Rose Weasley,29
Tina Goldstein,29
Original Male Character,28
Andromeda Black Tonks,27
Viktor Krum,26
Yato,26
Iki Hiyori,25
Salazar Slytherin,25
Original Percival Graves,24
Other,24
Teddy Lupin,23
Fenrir Greyback,22
Arthur Weasley,22
Marcus Flint,22
Molly Weasley,21
Peter Pettigrew,21
Godric Gryffindor,20
Lavender Brown,20
Katie Bell,18
Rodolphus Lestrange,18
Ted Tonks,18
Credence Barebone,18
Seamus Finnigan,18
Dean Thomas,18
Dorcas Meadowes,17
Cho Chang,17
Bartemius Crouch Jr.,17
Angelina Johnson,17
Lily Luna Potter,16
wolfstar - Relationship,16
James Sirius Potter,16
Susan Bones,15
Victoire Weasley,15
Gilderoy Lockhart,13
Argus Filch,13
Antonin Dolohov,13
Petunia Evans Dursley,13
Hannah Abbott,13
Rubeus Hagrid,12
Tony Stark,12
Thorfinn Rowle,11
Player Character,11
Cormac McLaggen,11
Alice Longbottom,11
Kreacher,11
Sybill Trelawney,11
Nagini,11
Rowena Ravenclaw,11
Parvati Patil,11
Percy Jackson,10
Dobby,10
Vincent Crabbe,10
James Bucky Barnes,10
Rolanda Hooch,10
Leta Lestrange,10
Queenie Goldstein,10
