wolfstar,freq
Sirius Black,1481
Remus Lupin,1476
James Potter,122
Lily Evans Potter,82
Harry Potter,56
Draco Malfoy,40
Regulus Black,38
Original Female Character,24
none,17
wolfstar - Relationship,16
Peter Pettigrew,12
Hermione Granger,11
Ginny Weasley,9
Severus Snape,8
Marlene McKinnon,8
Sirius,8
Remus,7
Reader,7
Fred Weasley,6
Dorcas Meadowes,6
Original Character,6
Ron Weasley,4
Tom Riddle,4
Marauders,3
Mary Macdonald,2
Luna Lovegood,2
Teddy Lupin,2
Charlie Weasley,2
Nymphadora Tonks,2
Hope Lupin,2
Lyall Lupin,2
Walburga Black,2
Lucius Malfoy,2
Other,1
Dahlia Gaunt,1
Regulus black,1
Original Undertale Character,1
Sans,1
Lily Evans,1
Angelina Johnson,1
O,1
c,1
Andromeda Black Tonks,1
Cedric Diggory,1
Pansy Parkinson,1
Bartemius Crouch Jr.,1
James,1
Lily,1
James Potter (platonic),1
Annabeth Chase,1
Percy Jackson,1
James Sirius Potter,1
pre Harry Potter,1
Sirius Black&#39;s Motorbike,1
George Weasley,1
Harem,1
OFC,1
Voldemort,1
Albus Dumbledore,1
Gellert Grindelwald,1
Arthur Weasley,1
Molly Weasley,1
Andrew Minyard,1
Neil Josten,1
Theodore Nott,1
Nico di Angelo,1
Will Solace,1
Hadrian Peverell,1
Thomas Slytherin,1
Orion Black,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Kasey Winter,1
Natalie Darcy,1
Harry Potter Characters,1
Drarry - Relationship,1
Minerva McGonagall,1
Gilderoy Lockhart,1
Iris Brooks,1
The Marauders - Relationship,1
Poppy Pomfrey,1
implied,1
Fenrir Greyback,1
Harry Potter (eventual),1
Narcissa Black Malfoy,1
Remus Lupin x Sirius Black,1
Suggested Wolfstar,1
