,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Remus_Lupin,Severus_Snape,James_Potter,Original_Female_Character,Ginny_Weasley,Lily_Evans_Potter,Tom_Riddle,Ron_Weasley,Reader,Voldemort,Luna_Lovegood,Fred_Weasley,Lucius_Malfoy,Pansy_Parkinson,Scorpius_Malfoy,Albus_Dumbledore,Regulus_Black,Bellatrix_Black_Lestrange,Neville_Longbottom,Newt_Scamander,George_Weasley,Narcissa_Black_Malfoy,Gellert_Grindelwald,Albus_Severus_Potter,Charlie_Weasley,Theodore_Nott,Fleur_Delacour,Oliver_Wood,Percy_Weasley,Nymphadora_Tonks,Blaise_Zabini,Original_Character,Original_Percival_Graves,Original_Male_Character,Teddy_Lupin,Cedric_Diggory,James_Sirius_Potter,Minerva_McGonagall,Daphne_Greengrass,Bill_Weasley,Tina_Goldstein,Astoria_Greengrass,Rose_Weasley,Marcus_Flint,Theseus_Scamander,Credence_Barebone,Marlene_McKinnon,Andromeda_Black_Tonks,Viktor_Krum,Tony_Stark,Lavender_Brown,Peter_Pettigrew,Dean_Thomas,Seamus_Finnigan,Arthur_Weasley,Petunia_Evans_Dursley,Molly_Weasley,Cho_Chang,Lily_Luna_Potter,Salazar_Slytherin,Loki_,Steve_Rogers,Other,Victoire_Weasley,Parvati_Patil,Fenrir_Greyback,Player_Character,Godric_Gryffindor,Bartemius_Crouch_Jr.,Angelina_Johnson,Percy_Jackson,James_Bucky_Barnes,Ted_Tonks,Dorcas_Meadowes,Rodolphus_Lestrange,Katie_Bell,Hannah_Abbott,Vernon_Dursley,Dudley_Dursley,Antonin_Dolohov,Leo_Knut,Sherlock_Holmes,Millicent_Bulstrode,Padma_Patil,Thorfinn_Rowle,Finn_O&#39;Hara,Lily_Evans,Dean_Winchester,Susan_Bones,Kylo_Ren,Queenie_Goldstein,Abraxas_Malfoy,Rabastan_Lestrange,Crowley_,Cormac_McLaggen,Kingsley_Shacklebolt,Annabeth_Chase,Merlin,Orion_Black,Aziraphale,Leta_Lestrange,Rubeus_Hagrid,John_Watson,Merula_Snyde,Peter_Parker,Rey,Jacob_Kowalski,Gilderoy_Lockhart,Nico_di_Angelo,Loki,Walburga_Black,Alice_Longbottom,Death,Arthur_Pendragon_(Merlin),Harriet_Potter_|_Rigel_Black,Logan_Tremblay_(lumosinlove),Gregory_Goyle,Rowena_Ravenclaw,Everyone,Adrian_Pucey,Alastor_Moody,Tom_Riddle_Sr.,Clint_Barton,Helga_Hufflepuff,Audrey_Weasley,Natasha_Romanov_,Marauders,Player_Character_(Hogwarts_Mystery),Logan_Tremblay,Edward_Cullen,Penny_Haywood,Lee_Jordan
Harry_Potter,12,14267,2309,352,111,2669,49,239,1747,57,1952,822,89,1604,265,131,179,143,54,93,60,29,164,10,160,31,14,29,111,150,146,10,19,58,169,91,11,98,69,217,24,37,197,43,0,18,9,41,1,0,0,11,41,82,7,0,17,9,7,28,17,40,17,11,37,25,50,2,18,36,0,6,20,5,19,30,0,0,6,18,3,21,43,6,0,6,8,12,3,0,2,7,28,0,0,4,30,1,12,8,0,0,12,0,0,22,0,0,16,0,0,4,13,6,1,2,57,0,1,0,1,2,13,3,3,2,11,1,0,25,3,0,0,25,0,2
Draco_Malfoy,14267,1,5736,14,11,97,4,621,263,0,24,244,503,16,146,28,74,113,27,1,2,6,118,0,28,31,0,26,78,141,2,3,18,3,94,64,0,31,14,9,12,1,12,8,0,253,5,2,0,0,0,4,9,0,6,0,4,1,1,0,0,4,14,0,4,2,37,1,0,11,0,2,0,0,3,1,0,0,0,2,4,0,3,1,0,2,5,1,0,0,0,0,3,0,0,1,2,0,5,1,1,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0
Hermione_Granger,2309,5736,1,323,215,1892,102,43,187,3,456,1639,27,83,156,596,357,380,10,2,50,694,115,2,138,260,6,1,206,243,380,33,41,9,93,10,2,26,19,33,3,68,31,66,0,7,1,34,1,0,1,58,147,49,20,6,12,19,12,0,2,9,2,11,57,52,7,1,7,50,0,0,5,2,0,35,0,0,14,1,0,0,4,71,0,8,11,8,85,0,1,37,5,7,0,13,13,2,33,18,1,0,8,0,0,5,4,0,13,1,0,1,0,3,0,0,0,1,0,0,8,0,6,19,2,3,18,0,0,7,0,0,0,10,0,2
Sirius_Black,352,14,323,0,6791,357,668,335,46,125,5,2,209,0,5,3,37,11,0,1,325,36,1,0,3,26,0,1,3,0,4,1,0,11,0,21,0,11,3,0,1,14,1,2,0,0,1,0,0,0,144,11,2,3,2,182,0,1,0,5,2,0,2,0,3,0,2,0,0,0,0,0,3,1,0,1,1,9,5,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,0,0,12,0,1,2,0,0,0,0,0,1,0,0,17,7,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0
Remus_Lupin,111,11,215,6791,0,359,252,198,12,84,4,6,175,0,7,1,27,4,0,4,28,3,4,0,1,15,0,0,1,0,2,0,0,425,0,13,0,18,7,0,0,4,0,9,0,0,0,0,0,0,8,2,0,0,3,183,0,0,0,8,2,0,1,1,2,0,0,0,0,12,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Severus_Snape,2669,97,1892,357,359,1,207,431,28,452,71,17,297,69,52,4,235,4,0,46,57,14,27,0,5,80,7,0,10,1,2,0,11,37,4,31,0,38,0,0,1,89,0,5,0,0,0,0,0,0,0,5,2,1,1,8,0,1,7,32,4,0,4,3,4,1,29,0,0,5,0,1,4,0,0,1,0,0,1,0,0,1,0,0,0,2,3,0,0,0,23,0,0,0,0,2,5,0,0,8,0,0,0,0,0,8,0,0,0,0,0,33,0,2,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,0,9,0,0,0,3,0
James_Potter,49,4,102,668,252,207,0,61,5,2429,38,0,41,4,0,0,8,1,0,0,289,2,0,0,0,8,0,0,0,0,1,0,0,0,0,6,0,5,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,7,1,175,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Female_Character,239,621,43,335,198,431,61,27,12,4,179,32,0,20,13,280,38,12,10,4,78,20,63,15,194,10,0,23,76,22,2,37,17,2,20,0,13,81,9,51,59,10,2,26,0,0,7,6,9,0,7,1,3,1,0,2,4,8,0,2,0,1,7,4,1,1,0,0,0,4,0,1,9,0,2,3,0,1,5,0,2,1,11,1,0,0,0,0,1,0,1,1,0,1,0,9,5,0,3,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,12,3,1,0,0,0,0,0,0,0,1,1,3
Ginny_Weasley,1747,263,187,46,12,28,5,12,0,0,56,28,6,3,464,7,19,93,1,1,0,3,36,0,13,3,0,7,4,22,16,8,9,8,69,3,0,1,1,2,4,1,5,6,0,12,0,3,0,0,0,0,2,2,2,0,17,3,4,0,6,29,5,1,6,4,0,0,2,1,0,0,0,4,0,2,0,0,0,2,1,0,1,0,0,1,3,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
Lily_Evans_Potter,57,0,3,125,84,452,2429,4,0,1,3,0,0,7,1,0,9,0,0,0,30,5,0,0,0,46,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,7,0,13,0,0,0,30,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,0,0,0
