,freq,lovers
0,14267,Draco_Malfoy/Harry_Potter
1,6791,Remus_Lupin/Sirius_Black
2,5736,Draco_Malfoy/Hermione_Granger
3,2669,Harry_Potter/Severus_Snape
4,2429,James_Potter/Lily_Evans_Potter
5,2309,Harry_Potter/Hermione_Granger
6,1952,Harry_Potter/Tom_Riddle
7,1892,Hermione_Granger/Severus_Snape
8,1747,Ginny_Weasley/Harry_Potter
9,1639,Hermione_Granger/Ron_Weasley
10,1604,Harry_Potter/Voldemort
11,867,Albus_Dumbledore/Gellert_Grindelwald
12,822,Harry_Potter/Ron_Weasley
13,822,Albus_Severus_Potter/Scorpius_Malfoy
14,694,Bellatrix_Black_Lestrange/Hermione_Granger
15,668,James_Potter/Sirius_Black
16,621,Draco_Malfoy/Original_Female_Character
17,596,Fred_Weasley/Hermione_Granger
18,503,Draco_Malfoy/Reader
19,464,Ginny_Weasley/Luna_Lovegood
20,456,Hermione_Granger/Tom_Riddle
21,452,Lily_Evans_Potter/Severus_Snape
22,431,Original_Female_Character/Severus_Snape
23,425,Nymphadora_Tonks/Remus_Lupin
24,392,Lucius_Malfoy/Narcissa_Black_Malfoy
25,380,Hermione_Granger/Pansy_Parkinson
26,380,Fleur_Delacour/Hermione_Granger
27,359,Remus_Lupin/Severus_Snape
28,357,Severus_Snape/Sirius_Black
29,357,Hermione_Granger/Lucius_Malfoy
30,352,Harry_Potter/Sirius_Black
31,349,Fred_Weasley/George_Weasley
32,335,Original_Female_Character/Sirius_Black
33,325,Regulus_Black/Sirius_Black
34,323,Hermione_Granger/Sirius_Black
35,319,Newt_Scamander/Tina_Goldstein
36,312,Oliver_Wood/Percy_Weasley
37,297,Reader/Severus_Snape
38,289,James_Potter/Regulus_Black
39,284,Newt_Scamander/Original_Percival_Graves
40,280,Fred_Weasley/Original_Female_Character
41,265,Harry_Potter/Luna_Lovegood
42,263,Draco_Malfoy/Ginny_Weasley
43,260,Hermione_Granger/Narcissa_Black_Malfoy
44,253,Astoria_Greengrass/Draco_Malfoy
45,252,James_Potter/Remus_Lupin
46,252,Rose_Weasley/Scorpius_Malfoy
47,244,Draco_Malfoy/Ron_Weasley
48,243,Hermione_Granger/Theodore_Nott
49,239,Harry_Potter/Original_Female_Character
50,235,Lucius_Malfoy/Severus_Snape
51,217,Cedric_Diggory/Harry_Potter
52,215,Hermione_Granger/Remus_Lupin
53,210,Neville_Longbottom/Pansy_Parkinson
54,209,Reader/Sirius_Black
55,209,Credence_Barebone/Original_Percival_Graves
56,207,James_Potter/Severus_Snape
57,206,Charlie_Weasley/Hermione_Granger
58,200,Fred_Weasley/Reader
59,198,Original_Female_Character/Remus_Lupin
60,197,Daphne_Greengrass/Harry_Potter
61,194,George_Weasley/Original_Female_Character
62,194,James_Sirius_Potter/Teddy_Lupin
63,187,Ginny_Weasley/Hermione_Granger
64,187,George_Weasley/Reader
65,184,Newt_Scamander/Theseus_Scamander
66,183,Peter_Pettigrew/Remus_Lupin
67,182,Peter_Pettigrew/Sirius_Black
68,179,Original_Female_Character/Tom_Riddle
69,179,Harry_Potter/Lucius_Malfoy
70,175,Reader/Remus_Lupin
71,175,James_Potter/Peter_Pettigrew
72,169,Blaise_Zabini/Harry_Potter
73,167,Marcus_Flint/Oliver_Wood
74,164,Harry_Potter/Neville_Longbottom
75,160,George_Weasley/Harry_Potter
76,156,Hermione_Granger/Luna_Lovegood
77,150,Harry_Potter/Theodore_Nott
78,147,Hermione_Granger/Viktor_Krum
79,146,Draco_Malfoy/Luna_Lovegood
80,146,Fleur_Delacour/Harry_Potter
81,144,Marlene_McKinnon/Sirius_Black
82,144,Arthur_Weasley/Molly_Weasley
83,143,Harry_Potter/Pansy_Parkinson
84,142,Dean_Thomas/Seamus_Finnigan
85,141,Draco_Malfoy/Theodore_Nott
86,138,George_Weasley/Hermione_Granger
87,131,Fred_Weasley/Harry_Potter
88,130,Bellatrix_Black_Lestrange/Voldemort
89,130,Luna_Lovegood/Neville_Longbottom
90,125,Lily_Evans_Potter/Sirius_Black
91,118,Draco_Malfoy/Neville_Longbottom
92,117,Teddy_Lupin/Victoire_Weasley
93,116,Andromeda_Black_Tonks/Ted_Tonks
94,115,Hermione_Granger/Neville_Longbottom
95,113,Draco_Malfoy/Pansy_Parkinson
96,111,Harry_Potter/Remus_Lupin
97,111,Charlie_Weasley/Harry_Potter
98,110,Bill_Weasley/Fleur_Delacour
99,109,Godric_Gryffindor/Salazar_Slytherin
