,Harry_Potter,Draco_Malfoy,Hermione_Granger,Severus_Snape,Sirius_Black,Remus_Lupin,Tom_Riddle,Original_Female_Character,Lucius_Malfoy,Ginny_Weasley,Voldemort,Ron_Weasley,Reader,Bellatrix_Black_Lestrange,Pansy_Parkinson,James_Potter,Narcissa_Black_Malfoy,Charlie_Weasley,Original_Percival_Graves,Neville_Longbottom,Fred_Weasley,Theodore_Nott,Lily_Evans_Potter,Albus_Dumbledore,Newt_Scamander,George_Weasley,Gellert_Grindelwald,Scorpius_Malfoy,Luna_Lovegood,Fleur_Delacour,Credence_Barebone,Blaise_Zabini,Albus_Severus_Potter,Teddy_Lupin,Nymphadora_Tonks,James_Sirius_Potter,Regulus_Black,Original_Male_Character,Bill_Weasley,Daphne_Greengrass,Oliver_Wood,Original_Character,Marcus_Flint,Viktor_Krum,Fenrir_Greyback,Theseus_Scamander,Other,Percy_Weasley
Harry_Potter,5,2779,368,718,78,31,326,17,68,166,342,101,4,9,45,16,17,32,1,25,13,32,20,15,0,21,0,22,25,32,0,26,5,19,25,8,6,16,7,41,1,7,9,5,16,0,16,5
Draco_Malfoy,2779,1,1587,36,4,3,4,73,25,27,3,76,68,2,18,3,2,18,0,31,3,55,0,0,0,2,0,4,12,1,0,29,13,11,2,4,0,6,6,4,1,9,2,2,8,0,15,1
Hermione_Granger,368,1587,1,580,104,84,176,1,165,57,30,156,4,203,88,34,51,79,0,33,58,81,1,0,0,29,3,2,18,58,0,16,0,10,5,1,7,4,27,6,5,0,7,32,18,0,3,5
Severus_Snape,718,36,580,1,82,72,14,136,77,17,16,5,67,5,3,36,25,1,0,6,1,1,29,6,0,1,0,0,2,1,0,2,0,0,6,0,6,5,2,0,0,6,0,1,1,0,11,5
Sirius_Black,78,4,104,82,0,673,0,27,14,13,0,0,20,9,3,48,5,2,0,1,0,0,17,0,0,0,0,0,0,4,0,0,0,1,2,0,18,0,0,0,1,1,0,2,0,0,1,0
Remus_Lupin,31,3,84,72,673,0,0,23,10,2,0,2,25,0,2,11,2,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,38,0,3,3,1,0,0,0,0,0,7,0,0,0
Tom_Riddle,326,4,176,14,0,0,0,43,5,6,9,1,8,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Original_Female_Character,17,73,1,136,27,23,43,0,10,2,0,2,0,5,0,7,0,12,1,1,43,6,0,0,0,23,0,1,0,0,0,2,1,0,0,1,10,11,5,2,4,0,1,0,2,2,0,0
Lucius_Malfoy,68,25,165,77,14,10,5,10,0,9,4,7,8,4,3,4,73,1,0,0,0,2,4,0,0,0,1,1,2,0,0,1,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0
Ginny_Weasley,166,27,57,17,13,2,6,2,9,0,1,10,0,1,17,2,1,1,0,6,3,3,0,0,0,5,0,0,37,4,0,19,0,1,5,0,0,0,2,2,3,0,0,0,0,0,0,1
