,freq,lovers
0,2779,Draco_Malfoy/Harry_Potter
1,1587,Draco_Malfoy/Hermione_Granger
2,718,Harry_Potter/Severus_Snape
3,673,Remus_Lupin/Sirius_Black
4,580,Hermione_Granger/Severus_Snape
5,368,Harry_Potter/Hermione_Granger
6,342,Harry_Potter/Voldemort
7,326,Harry_Potter/Tom_Riddle
8,203,Bellatrix_Black_Lestrange/Hermione_Granger
9,176,Hermione_Granger/Tom_Riddle
10,166,Ginny_Weasley/Harry_Potter
11,165,Hermione_Granger/Lucius_Malfoy
12,156,Hermione_Granger/Ron_Weasley
13,136,Original_Female_Character/Severus_Snape
14,113,Albus_Dumbledore/Gellert_Grindelwald
15,104,Hermione_Granger/Sirius_Black
16,101,Harry_Potter/Ron_Weasley
17,101,Credence_Barebone/Original_Percival_Graves
18,92,James_Potter/Lily_Evans_Potter
19,88,Hermione_Granger/Pansy_Parkinson
20,84,Hermione_Granger/Remus_Lupin
21,82,Severus_Snape/Sirius_Black
22,81,Hermione_Granger/Theodore_Nott
23,79,Charlie_Weasley/Hermione_Granger
24,78,Harry_Potter/Sirius_Black
25,77,Lucius_Malfoy/Severus_Snape
26,76,Draco_Malfoy/Ron_Weasley
27,73,Draco_Malfoy/Original_Female_Character
28,73,Lucius_Malfoy/Narcissa_Black_Malfoy
29,72,Remus_Lupin/Severus_Snape
30,71,Fred_Weasley/George_Weasley
31,70,Albus_Severus_Potter/Scorpius_Malfoy
32,68,Harry_Potter/Lucius_Malfoy
33,68,Draco_Malfoy/Reader
34,67,Reader/Severus_Snape
35,63,Newt_Scamander/Original_Percival_Graves
36,58,Fred_Weasley/Hermione_Granger
37,58,Fleur_Delacour/Hermione_Granger
38,57,Ginny_Weasley/Hermione_Granger
39,55,Draco_Malfoy/Theodore_Nott
40,51,Hermione_Granger/Narcissa_Black_Malfoy
41,48,James_Potter/Sirius_Black
42,45,Harry_Potter/Pansy_Parkinson
43,45,James_Sirius_Potter/Teddy_Lupin
44,43,Original_Female_Character/Tom_Riddle
45,43,Neville_Longbottom/Pansy_Parkinson
46,43,Fred_Weasley/Original_Female_Character
47,41,Daphne_Greengrass/Harry_Potter
48,38,Nymphadora_Tonks/Remus_Lupin
49,37,Ginny_Weasley/Luna_Lovegood
50,36,Draco_Malfoy/Severus_Snape
51,36,James_Potter/Severus_Snape
52,34,Hermione_Granger/James_Potter
53,33,Hermione_Granger/Neville_Longbottom
54,33,Marcus_Flint/Oliver_Wood
55,32,Charlie_Weasley/Harry_Potter
56,32,Harry_Potter/Theodore_Nott
57,32,Fleur_Delacour/Harry_Potter
58,32,Hermione_Granger/Viktor_Krum
59,31,Harry_Potter/Remus_Lupin
60,31,Draco_Malfoy/Neville_Longbottom
61,30,Hermione_Granger/Voldemort
62,30,Fred_Weasley/Reader
63,29,Lily_Evans_Potter/Severus_Snape
64,29,George_Weasley/Hermione_Granger
65,29,Blaise_Zabini/Draco_Malfoy
66,28,Newt_Scamander/Theseus_Scamander
67,27,Original_Female_Character/Sirius_Black
68,27,Draco_Malfoy/Ginny_Weasley
69,27,George_Weasley/Reader
70,27,Bill_Weasley/Hermione_Granger
71,26,Blaise_Zabini/Harry_Potter
72,25,Draco_Malfoy/Lucius_Malfoy
73,25,Reader/Remus_Lupin
74,25,Narcissa_Black_Malfoy/Severus_Snape
75,25,Harry_Potter/Neville_Longbottom
76,25,Harry_Potter/Luna_Lovegood
77,25,Harry_Potter/Nymphadora_Tonks
78,23,Original_Female_Character/Remus_Lupin
79,23,George_Weasley/Original_Female_Character
80,22,Bellatrix_Black_Lestrange/Voldemort
81,22,Harry_Potter/Scorpius_Malfoy
82,21,George_Weasley/Harry_Potter
83,20,Reader/Sirius_Black
84,20,Harry_Potter/Lily_Evans_Potter
85,19,Blaise_Zabini/Ginny_Weasley
86,19,Harry_Potter/Teddy_Lupin
87,18,Draco_Malfoy/Pansy_Parkinson
88,18,Charlie_Weasley/Draco_Malfoy
89,18,Hermione_Granger/Luna_Lovegood
90,18,Regulus_Black/Sirius_Black
91,18,Fenrir_Greyback/Hermione_Granger
92,17,Harry_Potter/Original_Female_Character
93,17,Ginny_Weasley/Severus_Snape
94,17,Ginny_Weasley/Pansy_Parkinson
95,17,Harry_Potter/Narcissa_Black_Malfoy
96,17,Lily_Evans_Potter/Sirius_Black
97,16,Severus_Snape/Voldemort
98,16,Harry_Potter/James_Potter
99,16,Blaise_Zabini/Hermione_Granger
