,Hermione_Granger,Draco_Malfoy,Harry_Potter,Severus_Snape,Original_Female_Character,Reader,Ginny_Weasley,Lily_Evans_Potter,James_Potter,Ron_Weasley,Sirius_Black,Fred_Weasley,Remus_Lupin,Tom_Riddle,Pansy_Parkinson,Lucius_Malfoy,Luna_Lovegood,Neville_Longbottom,George_Weasley,Nymphadora_Tonks,Charlie_Weasley,Newt_Scamander,Narcissa_Black_Malfoy,Theodore_Nott,Voldemort,Tina_Goldstein,Original_Character,Scorpius_Malfoy,Rose_Weasley,Blaise_Zabini,Astoria_Greengrass,Bellatrix_Black_Lestrange,Daphne_Greengrass,Fleur_Delacour,Bill_Weasley,Regulus_Black,Percy_Weasley,Cedric_Diggory,Viktor_Krum,Minerva_McGonagall,Marlene_McKinnon,Teddy_Lupin,Original_Male_Character,Lily_Luna_Potter,Oliver_Wood,Andromeda_Black_Tonks,Arthur_Weasley,Molly_Weasley,Victoire_Weasley,Lavender_Brown,Loki_,James_Sirius_Potter,Tony_Stark,Theseus_Scamander,Cho_Chang,Katie_Bell,Marcus_Flint,Ted_Tonks,Fenrir_Greyback,Thorfinn_Rowle,Antonin_Dolohov,Angelina_Johnson,Albus_Dumbledore,Steve_Rogers,Kylo_Ren,Hannah_Abbott,Leta_Lestrange,Petunia_Evans_Dursley,Rey,Cormac_McLaggen,Millicent_Bulstrode
Hermione_Granger,0,4808,1370,1559,0,0,5,0,78,821,228,458,155,387,2,282,2,77,79,0,168,2,0,144,63,0,2,8,0,67,0,0,0,0,47,32,34,29,119,1,0,12,11,0,28,0,8,0,0,0,43,0,37,1,0,0,26,0,43,63,53,0,1,40,7,0,0,0,0,26,0
Draco_Malfoy,4808,0,103,2,470,368,224,0,0,2,0,0,0,0,53,5,101,0,0,1,0,0,3,3,1,0,42,1,3,4,165,5,9,1,0,0,0,0,0,1,0,0,0,13,0,0,0,0,1,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
Harry_Potter,1370,103,0,71,120,60,1066,11,4,22,13,19,4,69,102,4,117,8,10,29,1,2,17,3,58,0,22,0,5,5,9,13,113,92,1,5,2,8,3,3,0,2,4,6,0,5,0,4,1,5,2,0,18,0,19,13,1,0,1,0,0,3,1,3,0,0,0,1,0,1,5
Severus_Snape,1559,2,71,0,327,231,23,257,7,0,8,0,3,5,2,7,41,0,0,30,0,0,52,0,3,0,14,0,0,0,0,10,0,2,0,1,0,0,1,37,0,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2
Original_Female_Character,0,470,120,327,0,0,0,0,33,18,221,196,142,112,0,29,0,51,131,0,51,12,0,15,10,0,0,6,0,12,0,0,0,0,19,38,13,38,3,0,0,5,36,0,27,0,0,0,0,0,0,39,0,7,0,0,5,0,3,1,0,0,4,0,1,0,0,0,0,3,0
Reader,0,368,60,231,0,0,0,0,27,16,165,133,130,43,0,19,1,28,135,0,28,41,0,4,0,0,1,1,0,7,0,0,0,0,19,43,4,27,0,1,0,2,1,0,17,0,0,0,0,0,1,1,1,13,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0
Ginny_Weasley,5,224,1066,23,0,0,0,0,4,14,41,1,9,39,0,16,4,16,1,0,1,0,0,20,3,0,0,1,0,54,0,0,0,0,2,0,0,1,1,0,0,1,0,0,7,0,3,0,0,0,3,0,1,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,0,1,0
Lily_Evans_Potter,0,0,11,257,0,0,0,0,1240,0,35,0,25,3,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
James_Potter,78,0,4,7,33,27,4,1240,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron_Weasley,821,2,22,0,18,16,14,0,0,0,0,0,0,0,47,2,18,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,6,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,23,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6
Sirius_Black,228,0,13,8,221,165,41,35,5,0,0,0,26,0,11,2,4,0,0,1,0,0,22,0,0,0,11,0,1,0,0,19,1,2,0,7,0,0,0,7,114,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
Fred_Weasley,458,0,19,0,196,133,1,0,0,0,0,0,0,0,3,0,3,0,34,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Remus_Lupin,155,0,4,3,142,130,9,25,0,0,26,0,0,0,3,0,6,0,0,280,0,0,11,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,1,2,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
Tom_Riddle,387,0,69,5,112,43,39,3,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
