,Harry_Potter,Draco_Malfoy,Sirius_Black,Remus_Lupin,Severus_Snape,Hermione_Granger,Tom_Riddle,Voldemort,Albus_Dumbledore,Gellert_Grindelwald,Scorpius_Malfoy,James_Potter,Bellatrix_Black_Lestrange,Ginny_Weasley,Albus_Severus_Potter,Ron_Weasley,Luna_Lovegood,Original_Percival_Graves,Newt_Scamander,Pansy_Parkinson,Oliver_Wood,Regulus_Black,Lucius_Malfoy,Fleur_Delacour,Narcissa_Black_Malfoy,Neville_Longbottom,Percy_Weasley,James_Sirius_Potter,Credence_Barebone,Teddy_Lupin,Blaise_Zabini,Charlie_Weasley,Original_Male_Character,Theodore_Nott,Marcus_Flint,Cedric_Diggory,Theseus_Scamander,George_Weasley,Seamus_Finnigan,Fred_Weasley,Dean_Thomas,Minerva_McGonagall,Lily_Evans_Potter,Original_Female_Character,Lavender_Brown,Reader,Marlene_McKinnon,Bartemius_Crouch_Jr.,Cho_Chang,Viktor_Krum,Original_Character,Andromeda_Black_Tonks,Salazar_Slytherin,Bill_Weasley,Daphne_Greengrass,Godric_Gryffindor,Parvati_Patil,Dorcas_Meadowes,Tony_Stark,Gilderoy_Lockhart
Harry_Potter,8,11538,138,33,1791,20,1348,1025,46,3,51,12,4,39,3,232,7,7,7,3,7,26,120,4,1,64,13,7,0,23,85,65,46,87,29,116,0,59,3,35,8,0,1,4,0,5,0,14,0,17,7,0,4,26,4,4,0,0,26,3
Draco_Malfoy,11538,0,10,5,49,6,17,11,0,0,5,3,0,1,24,190,0,0,0,1,2,0,29,0,1,87,15,11,0,7,29,65,21,37,1,6,0,8,1,9,2,0,0,0,0,13,0,0,0,7,4,0,0,7,0,1,0,0,0,0
Sirius_Black,138,10,0,4378,261,0,2,0,0,0,0,281,0,0,0,1,0,0,0,0,1,52,31,0,0,1,0,0,0,1,0,2,9,0,0,0,0,1,0,0,0,0,6,0,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,1
Remus_Lupin,33,5,4378,0,242,0,3,0,1,0,0,26,0,0,0,4,0,0,0,0,0,19,24,0,0,1,0,0,0,1,0,1,15,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,8,0,0,0,0,0,1
Severus_Snape,1791,49,261,242,0,4,32,29,13,7,0,109,0,0,0,13,0,0,0,0,0,34,124,0,1,25,8,1,0,0,2,3,19,0,0,0,0,2,1,3,0,0,6,1,0,8,0,1,0,1,1,0,0,5,0,0,0,0,0,28
Hermione_Granger,20,6,0,0,4,1,2,0,0,0,0,0,604,138,0,24,95,0,0,276,0,0,1,317,220,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,18,15,19,1,0,6,1,4,51,0,0,17,0,3,0,0,0
Tom_Riddle,1348,17,2,3,32,2,2,6,7,0,0,28,0,2,0,3,0,0,0,0,0,3,6,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Voldemort,1025,11,0,0,29,0,6,0,5,0,0,2,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,46,0,0,1,13,0,7,5,0,703,0,0,0,0,0,0,0,1,28,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gellert_Grindelwald,3,0,0,0,7,0,0,0,703,0,0,0,0,0,0,0,0,35,27,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
