,Hermione_Granger,Draco_Malfoy,Harry_Potter,Severus_Snape,Lily_Evans_Potter,Ginny_Weasley,James_Potter,Original_Female_Character,Newt_Scamander,Reader,Tom_Riddle,Ron_Weasley,Sirius_Black,Tina_Goldstein,Remus_Lupin,Luna_Lovegood,Lucius_Malfoy,Pansy_Parkinson,Fred_Weasley,Voldemort,Nymphadora_Tonks,Charlie_Weasley,Neville_Longbottom,Narcissa_Black_Malfoy,Bellatrix_Black_Lestrange,Theodore_Nott,George_Weasley,Scorpius_Malfoy,Astoria_Greengrass,Rose_Weasley,Bill_Weasley,Original_Character,Blaise_Zabini,Daphne_Greengrass,Minerva_McGonagall,Lily_Luna_Potter,Percy_Weasley,Fleur_Delacour,Viktor_Krum,Teddy_Lupin,Theseus_Scamander,Original_Percival_Graves,Leta_Lestrange,Queenie_Goldstein,Regulus_Black,Victoire_Weasley,Molly_Weasley,Arthur_Weasley,Tony_Stark,Cedric_Diggory,Andromeda_Black_Tonks,Original_Male_Character
Hermione_Granger,0,2299,621,730,0,0,26,0,4,0,320,397,135,0,67,0,117,1,168,51,0,79,42,0,0,81,37,3,0,0,29,2,30,1,0,0,19,0,68,3,0,0,0,0,18,0,0,6,24,21,0,6
Draco_Malfoy,2299,0,52,0,0,136,0,104,0,79,0,0,0,0,0,68,0,39,0,0,2,0,0,5,2,0,0,2,112,1,0,8,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry_Potter,621,52,0,21,8,609,1,39,1,10,62,7,3,0,2,83,0,76,3,28,13,0,2,6,4,1,5,0,4,2,2,9,3,54,0,8,1,15,0,1,0,0,0,0,1,2,3,0,10,4,1,3
Severus_Snape,730,0,21,0,136,11,1,144,0,3,0,0,4,0,1,7,0,1,0,1,7,0,0,18,3,0,0,0,0,0,0,10,0,1,23,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0
Lily_Evans_Potter,0,0,8,136,0,0,789,0,0,0,3,0,18,0,8,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
Ginny_Weasley,0,136,609,11,0,0,1,0,0,0,13,11,9,0,2,1,8,0,0,0,0,0,15,0,0,7,0,1,0,0,1,0,30,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0
James_Potter,26,0,1,1,789,1,0,15,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Original_Female_Character,0,104,39,144,0,0,15,0,13,0,55,7,91,0,48,0,12,0,41,4,0,26,9,0,0,2,19,2,0,0,14,0,5,0,0,0,10,0,4,5,1,18,0,0,14,0,0,0,0,10,0,12
Newt_Scamander,4,0,1,0,0,0,0,13,0,36,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,1,19,4,0,0,0,0,0,0,0,0
Reader,0,79,10,3,0,0,6,0,36,0,9,1,4,0,1,1,6,0,18,0,0,19,9,0,0,2,24,0,0,0,10,0,0,0,0,0,5,0,0,0,7,14,0,1,2,0,0,0,0,2,0,1
Tom_Riddle,320,0,62,0,3,13,0,55,0,9,0,0,0,0,0,8,0,3,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron_Weasley,397,0,7,0,0,11,0,7,0,1,0,0,0,0,0,7,0,28,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sirius_Black,135,0,3,4,18,9,3,91,0,4,0,0,0,0,7,2,0,2,0,0,1,0,0,10,8,0,0,0,0,0,0,14,0,0,10,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
