,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Severus_Snape,Remus_Lupin,Newt_Scamander,James_Potter,Ginny_Weasley,Tom_Riddle,Lily_Evans_Potter,Original_Percival_Graves,Ron_Weasley,Albus_Dumbledore,Original_Female_Character(s),Gellert_Grindelwald,Scorpius_Malfoy,Luna_Lovegood,Albus_Severus_Potter,Lucius_Malfoy,Reader,Pansy_Parkinson,Credence_Barebone,Tina_Goldstein,Theseus_Scamander,Bellatrix_Black_Lestrange,Neville_Longbottom,Tom_Riddle_|_Voldemort,Voldemort,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Fred_Weasley,Oliver_Wood,Nymphadora_Tonks,Blaise_Zabini,James_Sirius_Potter,Teddy_Lupin,Theodore_Nott,George_Weasley,Percy_Weasley,Minerva_McGonagall,Fleur_Delacour,Marcus_Flint,Original_Male_Character(s),Astoria_Greengrass,Bill_Weasley,Cedric_Diggory,Daphne_Greengrass,Rose_Weasley,Dean_Thomas,Seamus_Finnigan,Tony_Stark,Queenie_Goldstein,Original_Character(s),Arthur_Weasley,Viktor_Krum,Lavender_Brown,Leta_Lestrange,Lily_Luna_Potter,Andromeda_Black_Tonks,Molly_Weasley,OC,Petunia_Evans_Dursley,Steve_Rogers,Jacob_Kowalski,Cho_Chang,Rodolphus_Lestrange,James_&quot;Bucky&quot;_Barnes,Loki_(Marvel),Victoire_Weasley,Marlene_McKinnon,Original_Female_Character,Parvati_Patil,Player_Character_(Hogwarts_Mystery),Sherlock_Holmes,Fenrir_Greyback,Salazar_Slytherin,Kingsley_Shacklebolt,Other(s),Ted_Tonks,Angelina_Johnson,Dudley_Dursley,Bartemius_Crouch_Jr.,Hannah_Abbott,Millicent_Bulstrode,Harry,Vernon_Dursley,Cormac_McLaggen,Katie_Bell,Lily_Evans,Original_Male_Character,Abraxas_Malfoy,John_Watson,Dean_Winchester,Rubeus_Hagrid,Percival_Graves_|_Gellert_Grindelwald,Nagini,Alice_Longbottom,Padma_Patil,Crowley_(Good_Omens)
Harry_Potter,2,9083,850,186,1620,47,6,24,1024,1107,20,8,240,51,73,5,16,167,10,71,20,93,1,0,1,8,79,458,321,12,66,21,15,13,22,90,2,39,54,37,10,12,34,14,56,6,14,95,77,5,5,3,39,0,21,7,12,5,0,12,3,7,12,15,14,0,18,5,14,32,2,0,4,6,0,4,26,10,5,28,0,1,31,7,1,4,0,11,6,6,0,3,1,1,9,12,0,1,0,2,1
Draco_Malfoy,9083,0,2658,8,63,5,0,4,146,11,0,0,161,0,134,1,15,98,25,25,111,53,0,0,0,4,80,1,4,18,51,2,1,0,2,29,18,3,29,4,6,0,2,7,19,157,1,5,4,3,2,3,0,0,5,2,10,2,0,4,0,0,8,0,3,0,1,0,4,4,0,0,2,0,0,1,7,0,1,18,0,0,0,0,1,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
Hermione_Granger,850,2658,2,175,875,88,5,32,78,358,2,0,599,1,15,3,3,89,0,147,4,199,0,0,0,312,48,41,23,85,90,21,191,18,11,35,0,4,92,41,20,39,76,16,10,4,34,23,13,0,2,6,28,0,3,7,77,10,0,0,4,0,3,0,37,0,7,8,31,24,0,0,0,1,0,17,21,2,8,0,0,1,2,5,0,5,0,0,20,0,0,0,7,3,14,3,0,0,0,11,1
Sirius_Black,186,8,175,0,138,3142,0,268,9,2,33,0,1,0,120,0,0,3,0,25,97,2,0,0,0,14,0,0,0,11,4,119,0,0,3,0,1,3,0,0,0,12,1,0,4,0,0,0,0,0,0,0,2,0,20,0,0,1,0,0,4,2,5,4,0,0,0,3,2,0,0,50,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0
Severus_Snape,1620,63,875,138,0,182,0,104,13,21,232,0,17,37,190,7,0,12,0,97,71,1,0,0,0,4,12,8,18,20,3,29,0,0,7,0,0,1,0,0,1,53,1,0,9,0,5,1,1,0,0,0,0,0,19,17,0,0,0,3,4,1,4,15,0,0,0,1,0,2,0,0,3,0,0,1,1,4,40,15,0,0,2,1,0,1,0,1,0,0,12,0,0,0,0,9,0,0,1,0,0
Remus_Lupin,47,5,88,3142,182,0,0,21,3,0,20,0,1,1,62,0,0,3,0,13,64,0,0,0,0,3,7,0,0,9,0,17,0,0,218,0,2,3,0,0,0,6,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,1,1,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
Newt_Scamander,6,0,5,0,0,0,0,0,0,2,0,556,1,59,15,64,0,1,0,0,55,0,93,576,454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,45,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
James_Potter,24,4,32,268,104,21,0,0,1,4,1326,0,0,0,23,0,0,0,0,9,11,0,0,0,0,2,0,2,1,3,0,43,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
Ginny_Weasley,1024,146,78,9,13,3,0,1,0,27,0,0,19,0,4,0,1,265,0,9,2,84,0,0,0,0,20,1,0,1,1,0,1,2,7,33,0,0,7,2,5,0,8,0,1,6,2,0,1,0,4,0,2,1,1,5,2,4,0,2,0,1,0,0,1,0,15,0,1,2,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Tom_Riddle,1107,11,358,2,21,0,2,4,27,1,3,0,3,8,78,3,0,10,0,4,15,3,1,0,0,5,0,0,5,1,0,2,0,0,0,0,0,0,0,0,1,6,0,1,7,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,37,0,1,3,0,2,0,1,0
Lily_Evans_Potter,20,0,2,33,232,20,0,1326,0,3,0,0,0,0,1,0,0,2,0,8,0,0,0,0,0,3,0,2,1,36,0,11,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,25,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Original_Percival_Graves,8,0,0,0,0,0,556,0,0,0,0,0,0,4,23,65,0,0,0,0,15,0,456,33,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Ron_Weasley,240,161,599,1,17,1,1,0,19,3,0,0,0,0,9,0,0,10,0,8,6,33,0,0,0,0,5,0,0,0,1,0,0,0,1,36,1,1,2,1,3,0,1,0,1,5,1,0,4,1,1,1,0,0,0,2,15,23,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,51,0,1,0,37,1,59,0,0,8,0,4,0,2,0,946,0,0,0,0,1,1,1,0,10,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Original_Female_Character(s),73,134,15,120,190,62,15,23,4,78,1,23,9,0,2,0,3,4,21,13,1,1,3,0,1,3,10,4,4,6,35,19,55,9,4,5,29,0,2,30,12,5,0,1,9,0,18,12,0,3,3,7,1,0,0,0,4,0,0,4,0,0,0,0,1,1,0,3,2,3,0,1,0,0,0,1,3,1,0,0,0,0,9,3,0,0,2,0,1,0,0,0,2,0,0,1,1,0,0,0,0
Gellert_Grindelwald,5,1,3,0,7,0,64,0,0,3,0,65,0,946,0,2,0,0,0,0,2,0,33,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Scorpius_Malfoy,16,15,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,725,3,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,67,7,0,0,1,0,0,0,0,2,0,0,1,141,0,0,0,0,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,167,98,89,3,12,3,1,0,265,10,2,0,10,0,4,0,2,0,0,0,7,30,0,0,0,2,69,0,1,2,7,0,1,0,1,14,0,0,30,7,3,0,0,1,2,0,1,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,15,0,5,6,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0
Albus_Severus_Potter,10,25,0,0,0,0,0,0,0,0,0,0,0,0,21,0,725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucius_Malfoy,71,25,147,25,97,13,0,9,9,4,8,0,8,0,13,0,3,0,0,0,6,1,0,0,0,9,1,1,5,214,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Reader,20,111,4,97,71,64,55,11,2,15,0,15,6,1,1,2,0,7,1,6,0,0,17,1,10,0,13,1,0,0,23,2,23,8,5,0,0,0,2,28,4,0,0,0,0,0,12,3,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Pansy_Parkinson,93,53,199,2,1,0,0,0,84,3,0,0,33,1,1,0,2,30,0,1,0,1,1,0,0,2,31,0,0,7,18,1,3,1,1,13,0,0,11,5,13,0,0,2,0,2,0,2,23,1,1,1,12,0,1,0,0,6,0,2,0,0,0,0,0,0,1,0,1,7,0,0,0,4,0,0,1,0,0,0,0,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0
Credence_Barebone,1,0,0,0,0,0,93,0,0,1,0,456,0,1,3,33,0,0,0,0,17,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0
Tina_Goldstein,0,0,0,0,0,0,576,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theseus_Scamander,1,0,0,0,0,0,454,0,0,0,0,80,0,10,1,6,0,0,0,0,10,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,8,4,312,14,4,3,0,2,0,5,3,0,0,0,3,0,0,2,0,9,0,2,0,0,0,0,1,4,125,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,3,1,2,0,0,0,51,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neville_Longbottom,79,80,48,0,12,7,0,0,20,0,0,0,5,1,10,0,2,69,0,1,13,31,0,0,0,1,0,0,0,0,21,1,0,0,0,34,1,0,15,1,2,2,1,1,2,0,0,0,3,1,1,5,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,2,37,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0
Tom_Riddle_|_Voldemort,458,1,41,0,8,0,0,2,1,0,2,0,0,2,4,3,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
Voldemort,321,4,23,0,18,0,0,1,0,5,1,0,0,3,4,0,0,1,0,5,0,0,0,0,0,125,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Narcissa_Black_Malfoy,12,18,85,11,20,9,0,3,1,1,36,0,0,0,6,0,1,2,0,214,0,7,0,0,0,24,0,0,0,0,2,6,1,0,0,0,0,0,3,1,0,1,1,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Charlie_Weasley,66,51,90,4,3,0,1,0,1,0,0,0,1,0,35,0,0,7,0,2,23,18,0,0,0,2,21,0,0,2,0,1,0,7,21,1,3,3,2,2,1,0,0,0,9,1,9,1,0,1,0,1,2,0,2,0,4,1,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,22,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Regulus_Black,21,2,21,119,29,17,0,43,0,2,11,0,0,1,19,0,0,0,0,1,2,1,0,0,0,1,1,0,3,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred_Weasley,15,1,191,0,0,0,0,0,1,0,0,0,0,0,55,0,0,1,0,0,23,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,70,1,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver_Wood,13,0,18,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,141,1,0,158,1,0,0,8,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
