,Harry_Potter,Draco_Malfoy,Sirius_Black,Remus_Lupin,Severus_Snape,Newt_Scamander,Original_Percival_Graves,Albus_Dumbledore,Gellert_Grindelwald,Hermione_Granger,Tom_Riddle,Scorpius_Malfoy,Albus_Severus_Potter,Voldemort,Credence_Barebone,Theseus_Scamander,Ginny_Weasley,Ron_Weasley,Luna_Lovegood,James_Potter,Bellatrix_Black_Lestrange,Pansy_Parkinson,Oliver_Wood,James_Sirius_Potter,Neville_Longbottom,Lucius_Malfoy,Teddy_Lupin,Blaise_Zabini,Marcus_Flint,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Percy_Weasley,Seamus_Finnigan,Dean_Thomas,Fleur_Delacour,Original_Male_Character,Theodore_Nott,Cedric_Diggory,Minerva_McGonagall,Lily_Evans_Potter,Nymphadora_Tonks,George_Weasley,Lavender_Brown,Cho_Chang,Original_Character
Harry_Potter,0,7484,91,27,1196,0,7,26,2,6,715,13,5,515,1,0,20,152,2,12,1,0,11,0,42,58,10,57,11,0,45,8,7,2,4,1,34,34,63,0,0,0,21,0,2,13
Draco_Malfoy,7484,0,7,5,47,0,0,0,1,4,9,3,25,5,0,0,0,142,3,2,0,0,0,16,66,12,3,16,6,2,43,0,4,3,1,0,9,20,4,0,0,0,3,0,0,1
Sirius_Black,91,7,0,2288,95,0,0,0,0,3,2,0,0,0,0,0,0,1,0,189,0,0,0,1,0,22,1,0,0,0,4,27,0,0,0,0,2,0,0,0,0,0,0,0,0,3
Remus_Lupin,27,5,2288,0,135,0,0,0,0,6,0,0,0,0,0,0,0,1,0,14,0,0,0,2,7,10,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,1,0,0,0,1
Severus_Snape,1196,47,95,135,0,0,0,13,7,4,14,0,0,12,0,0,0,14,0,63,0,0,0,0,8,69,1,0,0,0,2,19,0,0,0,0,5,0,0,0,3,0,0,0,0,6
Newt_Scamander,0,0,0,0,0,0,481,56,47,0,0,0,0,0,74,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Percival_Graves,7,0,0,0,0,481,0,3,53,0,0,0,0,0,386,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,26,0,0,0,13,56,3,0,814,0,6,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Gellert_Grindelwald,2,1,0,0,7,47,53,814,1,0,2,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Hermione_Granger,6,4,3,6,4,0,0,0,0,0,1,0,0,0,0,0,57,15,67,0,271,158,0,0,0,0,0,0,0,76,0,0,0,0,0,64,0,0,0,36,2,8,0,9,6,2
