,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Severus_Snape,Remus_Lupin,Newt_Scamander,James_Potter,Ginny_Weasley,Tom_Riddle,Lily_Evans_Potter,Original_Percival_Graves,Original_Female_Character,Ron_Weasley,Albus_Dumbledore,Gellert_Grindelwald,Voldemort,Scorpius_Malfoy,Luna_Lovegood,Albus_Severus_Potter,Pansy_Parkinson,Lucius_Malfoy,Credence_Barebone,Reader,Tina_Goldstein,Theseus_Scamander,Bellatrix_Black_Lestrange,Neville_Longbottom,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Fred_Weasley,Oliver_Wood,Nymphadora_Tonks,Blaise_Zabini,James_Sirius_Potter,Teddy_Lupin,Theodore_Nott,George_Weasley,Percy_Weasley,Original_Character,Minerva_McGonagall,Original_Male_Character,Fleur_Delacour,Marcus_Flint,Astoria_Greengrass,Bill_Weasley,Cedric_Diggory,Daphne_Greengrass,Dean_Thomas,Rose_Weasley,Seamus_Finnigan,Tony_Stark,Arthur_Weasley,Queenie_Goldstein,Viktor_Krum,Lavender_Brown,Leta_Lestrange,Lily_Luna_Potter,Andromeda_Black_Tonks,Petunia_Evans_Dursley,Molly_Weasley,Steve_Rogers,Jacob_Kowalski,Cho_Chang,Rodolphus_Lestrange,Loki_(Marvel),James_Barnes,Parvati_Patil,Marlene_McKinnon,Victoire_Weasley,Player_Character_(Hogwarts_Mystery),Sherlock_Holmes,Kingsley_Shacklebolt,Fenrir_Greyback,Salazar_Slytherin,Other,Ted_Tonks,Angelina_Johnson,Harry,Dudley_Dursley,Hannah_Abbott,Bartemius_Crouch_Jr.,Millicent_Bulstrode,Vernon_Dursley,Lily_Evans,John_Watson,Cormac_McLaggen,Katie_Bell,Abraxas_Malfoy,Rubeus_Hagrid,Nagini,Dean_Winchester,Crowley_(Good_Omens),Gellert_Grindelwald_pretending_Percival_Graves,Padma_Patil,Aziraphale,Alice_Longbottom,Percy_Jackson
Harry_Potter,2,1,891,199,1717,50,1,26,1082,1185,22,8,78,248,52,5,843,17,179,11,98,72,1,20,0,1,8,83,13,71,21,15,13,22,94,2,41,55,39,10,34,15,61,36,14,6,16,102,82,5,5,3,43,8,0,13,6,0,12,3,16,8,15,0,20,5,36,14,7,0,2,0,4,5,27,10,29,0,1,0,31,1,7,4,11,0,1,6,6,1,13,2,11,1,0,2,0,0,10
Draco_Malfoy,1,0,2772,9,65,5,0,4,153,13,0,0,141,167,0,1,6,15,101,26,60,26,0,115,0,0,4,85,20,53,2,2,0,2,31,19,3,30,4,6,13,1,21,2,8,162,1,5,4,2,4,3,0,2,0,10,2,0,4,0,0,0,3,0,1,0,5,4,0,0,0,0,1,1,8,0,18,0,0,0,0,1,0,3,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2
Hermione_Granger,891,2772,2,187,922,91,5,32,85,374,3,0,15,637,1,3,64,4,92,0,212,152,0,4,0,0,327,49,92,92,23,205,18,11,35,0,6,95,42,20,6,41,10,79,16,4,35,25,13,2,0,6,30,7,0,80,11,0,0,4,0,0,38,0,7,8,25,33,2,0,0,0,18,9,21,3,0,0,1,0,2,0,5,5,0,0,3,20,0,7,4,0,14,1,0,11,0,0,1
Sirius_Black,199,9,187,0,143,3343,0,278,9,2,37,0,128,1,0,0,0,0,3,0,2,27,0,100,0,0,15,0,11,4,127,0,0,3,0,1,3,0,0,1,26,12,4,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,4,5,2,0,0,0,3,0,2,0,51,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0
Severus_Snape,1717,65,922,143,0,191,0,106,14,23,252,0,199,17,38,7,29,0,12,0,1,100,0,74,0,0,4,13,21,3,30,0,0,7,0,0,1,0,0,1,23,57,10,1,0,0,5,1,1,0,0,0,0,21,0,0,0,0,4,4,16,1,0,0,0,1,2,0,0,0,0,0,1,41,1,4,17,0,0,0,2,1,1,1,1,12,0,0,0,0,11,0,0,0,0,0,0,1,0
Remus_Lupin,50,5,91,3343,191,0,0,23,3,0,20,0,63,1,2,0,0,0,3,0,0,13,0,66,0,0,3,7,9,0,17,0,0,228,0,2,3,0,0,0,3,6,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Newt_Scamander,1,0,5,0,0,0,0,0,0,2,0,586,17,1,62,68,0,0,1,0,0,0,97,61,1,467,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,47,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
James_Potter,26,4,32,278,106,23,0,0,1,4,1413,0,25,0,0,0,3,0,0,0,0,10,0,11,0,0,2,0,3,0,46,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginny_Weasley,1082,153,85,9,14,3,0,1,0,28,0,0,4,19,0,0,1,1,300,0,87,9,0,2,0,0,0,21,1,1,0,1,2,8,35,0,0,7,2,5,1,0,1,8,0,6,2,0,1,7,0,0,2,5,1,2,4,0,2,0,0,1,1,0,16,0,2,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,7,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
Tom_Riddle,1185,13,374,2,23,0,2,4,28,1,4,0,79,3,10,3,5,0,10,0,3,4,1,15,0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,1,7,6,7,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,41,3,2,1,0,0,1,0,0,0
