,Hermione_Granger,Draco_Malfoy,Harry_Potter,Severus_Snape,Lily_Evans_Potter,James_Potter,Ginny_Weasley,Original_Female_Character,Newt_Scamander,Tom_Riddle,Ron_Weasley,Sirius_Black,Reader,Tina_Goldstein,Remus_Lupin,Luna_Lovegood,Lucius_Malfoy,Pansy_Parkinson,Fred_Weasley,Nymphadora_Tonks,Voldemort,Charlie_Weasley,Neville_Longbottom,Bellatrix_Black_Lestrange,Narcissa_Black_Malfoy,Theodore_Nott,George_Weasley,Scorpius_Malfoy,Astoria_Greengrass,Rose_Weasley,Bill_Weasley,Original_Character,Blaise_Zabini,Daphne_Greengrass,Minerva_McGonagall,Lily_Luna_Potter,Percy_Weasley,Fleur_Delacour,Viktor_Krum,Teddy_Lupin,Original_Percival_Graves,Queenie_Goldstein,Theseus_Scamander,Leta_Lestrange,Victoire_Weasley,Regulus_Black,Molly_Weasley,Tony_Stark,Arthur_Weasley,Andromeda_Black_Tonks,Cedric_Diggory,Credence_Barebone,Original_Male_Character,Rodolphus_Lestrange
Hermione_Granger,0,2395,644,770,0,26,0,0,4,333,416,147,0,0,70,0,120,1,181,0,51,80,43,0,0,83,38,4,0,0,30,2,30,1,0,0,19,0,70,5,0,0,0,0,0,19,0,26,6,0,23,0,6,8
Draco_Malfoy,2395,0,54,0,0,0,142,108,0,0,0,0,79,0,0,71,0,42,0,2,0,0,0,2,5,0,0,2,116,2,0,8,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry_Potter,644,54,0,22,9,1,644,38,1,65,9,3,9,0,2,90,0,81,3,13,30,0,2,4,6,1,5,0,4,2,2,9,3,58,0,8,1,15,0,1,0,0,0,0,2,1,3,11,0,1,4,0,3,0
Severus_Snape,770,0,22,0,147,1,12,148,0,0,0,4,58,0,1,7,0,1,0,7,1,0,0,3,18,0,0,0,0,0,0,10,0,1,26,3,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
Lily_Evans_Potter,0,0,9,147,0,836,0,0,0,4,0,20,0,0,8,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
James_Potter,26,0,1,1,836,0,1,15,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ginny_Weasley,0,142,644,12,0,1,0,0,0,14,11,9,0,0,2,1,8,0,0,0,0,0,16,0,0,7,0,1,0,0,1,0,31,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Original_Female_Character,0,108,38,148,0,15,0,0,14,56,7,92,0,0,49,0,12,0,41,0,4,30,9,0,0,2,19,2,0,0,14,0,5,0,0,0,10,0,4,5,18,0,1,0,0,14,0,0,0,0,10,4,13,1
Newt_Scamander,4,0,1,0,0,0,0,14,0,0,0,0,39,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,11,20,0,0,0,0,0,0,0,1,0,0
Tom_Riddle,333,0,65,0,4,0,14,56,0,0,0,0,9,0,0,8,0,3,0,0,1,0,0,5,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron_Weasley,416,0,9,0,0,0,11,7,0,0,0,0,2,0,0,7,0,31,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Sirius_Black,147,0,3,4,20,3,9,92,0,0,0,0,84,0,7,2,0,2,0,1,0,0,0,8,10,0,0,0,0,0,0,14,0,0,10,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Reader,0,79,9,58,0,6,0,0,39,9,2,84,0,0,52,1,5,0,18,0,0,16,8,0,0,2,23,0,0,0,9,0,0,0,0,0,4,0,0,0,14,1,7,0,0,2,0,0,0,0,2,15,1,0
Tina_Goldstein,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,3,0,0,0,0,0,0,0,0,1,0,0
Remus_Lupin,70,0,2,1,8,0,2,49,0,0,0,7,52,0,0,3,0,0,0,169,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,0,71,90,7,0,0,1,0,0,8,7,2,1,0,3,0,0,0,1,0,1,5,45,0,0,25,6,1,0,0,1,0,10,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Lucius_Malfoy,120,0,0,0,7,0,8,12,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,8,116,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
Pansy_Parkinson,1,42,81,1,0,0,0,0,0,3,31,2,0,0,0,0,1,0,3,0,0,14,27,0,0,10,5,1,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,1,0,11,0,0,2,0,0,0
Fred_Weasley,181,0,3,0,0,0,0,41,0,0,0,0,18,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nymphadora_Tonks,0,2,13,7,0,0,0,0,0,0,1,1,0,0,169,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Voldemort,51,0,30,1,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Charlie_Weasley,80,0,0,0,0,0,0,30,0,0,0,0,16,0,0,5,0,14,0,12,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Neville_Longbottom,43,0,2,0,0,0,16,9,0,0,0,0,8,0,0,45,0,27,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,0,2,4,3,0,2,0,0,0,5,0,8,0,0,2,0,8,0,0,0,109,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,35
Narcissa_Black_Malfoy,0,5,6,18,0,3,0,0,0,1,0,10,0,0,9,0,116,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1
Theodore_Nott,83,0,1,0,0,0,7,2,0,0,0,0,2,0,0,25,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George_Weasley,38,0,5,0,0,0,0,19,0,0,0,0,23,0,0,6,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpius_Malfoy,4,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,98,0,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astoria_Greengrass,0,116,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rose_Weasley,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bill_Weasley,30,0,2,0,0,0,1,14,0,0,0,0,9,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,2,8,9,10,0,4,0,0,4,1,0,14,0,0,0,0,1,0,4,0,0,1,1,0,0,0,4,2,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Blaise_Zabini,30,0,3,0,0,0,31,5,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daphne_Greengrass,1,3,58,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minerva_McGonagall,0,1,0,26,0,0,0,0,0,5,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lily_Luna_Potter,0,4,8,3,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Percy_Weasley,19,0,1,0,0,0,2,10,0,0,1,0,4,0,0,3,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fleur_Delacour,0,1,15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Viktor_Krum,70,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,5,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Original_Percival_Graves,0,0,0,0,0,0,0,18,1,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Queenie_Goldstein,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0
Theseus_Scamander,0,0,0,0,0,0,0,1,11,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0
Leta_Lestrange,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
Victoire_Weasley,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulus_Black,19,0,1,1,7,2,0,14,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molly_Weasley,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
Tony_Stark,26,0,11,0,0,0,2,0,0,0,0,0,0,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur_Weasley,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
Andromeda_Black_Tonks,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cedric_Diggory,23,0,4,0,0,0,0,10,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Credence_Barebone,0,0,0,0,0,0,0,4,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Original_Male_Character,6,0,3,0,1,0,0,13,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodolphus_Lestrange,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
